,Longitude,Latitude,CEC [cmol/kg]
189,-5.3321,40.1479,29.1
190,-5.2501,40.134,6.9
191,-5.2501,40.1174,4.2
192,-5.0501,40.184,20.0
193,-5.1001,40.2507,23.0
194,-5.1001,40.2007,17.0
195,-5.1334,40.184,20.5
196,-5.0112,40.3285,19.0
197,-4.7668,40.6507,18.3
198,-4.7668,40.6507,23.0
199,-4.7584,40.984,6.6
200,-4.7668,41.1174,1.8
201,-5.0834,39.3673,11.6
202,-5.0668,39.2673,10.8
203,-6.853,39.0812,10.0
204,-6.8669,39.1173,17.5
205,-6.7169,39.184,14.4
206,-6.0502,39.0507,7.4
207,-5.9835,39.0673,11.1
208,-5.8335,39.084,14.7
209,-5.8002,39.1173,15.9
210,-5.7001,39.034,13.6
211,-5.6501,39.034,12.4
212,-6.9835,38.9006,17.1
213,-6.853,38.7912,15.3
214,-6.8483,38.794,14.9
215,-6.8463,38.7893,11.1
216,-6.8424,38.794,14.5
217,-6.7169,38.9673,9.6
218,-6.5669,38.934,41.3
219,-6.6169,38.8673,10.7
220,-6.5835,38.834,27.1
221,-6.3669,38.8673,45.4
222,-6.3502,38.8506,18.9
223,-6.0835,38.884,28.2
224,-6.0668,38.984,15.6
225,-5.9668,38.9507,7.4
226,-5.8168,38.984,9.4
227,-5.8168,38.9673,22.1
228,-5.7668,38.984,7.1
229,-5.7001,38.934,26.0
230,-5.6501,39.0173,13.5
231,-5.2668,38.984,7.3
232,-6.9669,38.7173,14.4
233,-6.8335,38.8006,17.0
234,-6.6835,38.8006,10.0
235,-6.4335,38.8006,24.7
236,-6.6835,38.684,26.0
237,-6.5169,38.7673,24.0
238,-6.4057,38.7212,23.6
239,-6.3657,38.7029,18.2
240,-6.2835,38.684,45.3
241,-5.8502,38.7006,4.0
242,-5.7501,38.784,2.9
243,-5.6335,38.734,3.8
244,-5.5501,38.7506,9.5
245,-6.9002,38.5506,8.5
246,-6.8335,38.5465,6.7
247,-6.8002,38.634,47.0
248,-6.7002,38.6506,26.5
249,-6.4835,38.6173,6.0
250,-6.4169,38.584,46.7
251,-6.3168,38.584,35.1
252,-6.2835,38.5506,58.8
253,-5.8668,38.584,11.4
254,-5.7835,38.634,7.8
