,Longitude,Latitude,Ca [mg/kg]
184,-3.9731,43.2042,92.0
185,-4.1406,43.2014,40.0
186,-4.0458,43.0961,619.0
187,-4.0447,43.0925,393.0
188,-4.0842,43.0767,2500.0
189,-4.0617,43.0731,149.0
190,-4.0369,43.045,1315.0
191,-4.0661,43.0345,1762.0
192,-4.1042,43.0225,2500.0
193,-3.8489,42.9236,202.0
194,-3.8867,42.9189,280.0
195,-3.9511,42.8936,106.0
196,-3.9011,42.8045,2500.0
197,-3.913,42.7978,101.0
198,-3.9592,42.8114,1241.0
199,-3.9961,42.8492,779.0
200,-4.0542,42.8114,238.0
201,-4.0464,42.8792,2500.0
202,-4.0372,42.9195,482.0
203,-4.0592,42.9514,88.0
204,-4.1014,42.9347,459.0
205,-4.1255,42.967,285.0
206,-4.1436,42.9489,2500.0
207,-4.2136,42.9681,2500.0
208,-4.2472,42.9675,428.0
209,-4.2444,42.9728,353.0
210,-4.2292,43.0681,404.0
211,-4.275,43.1047,1007.0
212,-4.3719,43.0433,67.0
213,-4.3897,43.07,274.0
214,-4.3286,43.2303,72.0
215,-4.3369,43.1867,14.0
216,-4.4678,43.2422,115.0
217,-4.4658,43.1236,122.0
218,-4.4953,43.1033,2500.0
219,-4.5164,43.1336,232.0
220,-4.5422,43.1856,2500.0
221,-4.6633,43.0561,440.0
222,-4.7561,43.0828,371.0
223,-4.7533,43.085,1014.0
224,-4.7539,43.1022,2500.0
225,-4.7864,43.167,2500.0
226,-4.7594,43.182,2500.0
227,-4.715,43.1508,1127.0
228,-4.6589,43.2369,2500.0
229,-4.6842,43.2258,2500.0
230,-4.678,43.3536,2500.0
231,-4.6889,43.3486,542.0
232,-4.7217,43.2961,2500.0
233,-4.7258,43.2583,2500.0
234,-4.755,43.2367,2500.0
235,-4.7594,43.1947,2500.0
236,-4.9975,43.4031,315.0
237,-4.9994,43.2889,638.0
238,-4.9872,43.2792,743.0
239,-4.993,43.2608,2500.0
240,-4.9986,43.262,2500.0
241,-5.013,43.2606,2500.0
242,-5.0205,43.2642,799.0
243,-5.0172,43.2861,1056.0
244,-5.195,43.4369,596.0
245,-5.2253,43.277,330.0
246,-5.2114,43.2025,1149.0
247,-5.1564,43.1942,104.0
248,-5.1283,43.1458,111.0
249,-5.2164,43.1033,150.0
250,-5.2217,43.1106,2500.0
251,-5.2914,43.1445,316.0
252,-5.3061,43.1008,204.0
253,-5.3217,43.1111,147.0
254,-5.3861,43.2756,368.0
255,-5.3967,43.2725,566.0
256,-5.368,43.2333,744.0
257,-5.4778,43.2156,182.0
258,-5.4517,43.1889,166.0
259,-5.4372,43.192,128.0
260,-5.4255,43.1967,1627.0
261,-5.4781,43.1533,1627.0
262,-5.4025,43.0597,730.0
263,-5.4606,43.0736,307.0
264,-5.5189,43.1028,297.0
265,-5.5889,43.0681,178.0
266,-5.525,43.2917,1322.0
267,-5.6586,43.2222,156.0
268,-5.643,43.2228,173.0
269,-5.6244,43.1961,547.0
270,-5.6694,43.1325,412.0
271,-5.6903,43.1247,2500.0
272,-5.675,43.1272,2500.0
273,-5.6883,43.1147,1228.0
274,-5.7611,43.01,1281.0
275,-5.7658,43.0008,1338.0
276,-5.7928,42.9864,867.0
277,-5.8011,42.9861,1136.0
278,-5.7783,43.1836,261.0
279,-5.8336,43.2256,197.0
280,-5.9264,43.2392,2500.0
281,-5.925,43.185,1192.0
282,-5.9053,43.1442,1943.0
283,-5.8961,43.1397,799.0
284,-5.9086,43.0611,708.0
285,-5.8925,42.9925,580.0
286,-6.0086,43.0625,2500.0
287,-5.9856,43.0911,461.0
288,-5.9772,43.185,1306.0
289,-6.0033,43.1639,1887.0
290,-6.0728,43.137,873.0
291,-6.0472,43.0967,352.0
292,-6.0408,43.085,1454.0
293,-6.1325,43.2378,613.0
294,-6.1078,43.1975,2122.0
295,-6.1605,43.1633,554.0
296,-6.0942,43.0589,837.0
297,-6.1169,43.0536,981.0
298,-6.1455,43.0508,2500.0
299,-6.2394,43.057,2500.0
300,-6.2383,43.0336,2500.0
301,-6.3233,43.0617,2500.0
302,-6.32,43.0917,512.0
303,-6.3364,43.1431,474.0
304,-6.2911,43.2233,775.0
305,-6.253,43.2278,2500.0
306,-6.2678,43.28,435.0
307,-6.2825,43.4531,380.0
308,-6.3544,43.3781,732.0
309,-6.3992,43.3717,2500.0
310,-6.3742,43.3442,204.0
311,-6.47,43.3303,322.0
312,-6.3722,43.3097,802.0
313,-6.4286,43.2261,377.0
314,-6.4458,43.1781,381.0
315,-6.4658,43.0995,312.0
316,-6.4647,43.0711,492.0
317,-6.4697,43.05,251.0
318,-6.4283,43.07,303.0
319,-6.3772,43.06,267.0
320,-6.4275,42.9939,476.0
321,-6.4864,42.9739,225.0
322,-6.448,42.9461,228.0
323,-6.5264,42.9392,328.0
324,-6.5747,42.982,186.0
325,-6.6189,42.9542,410.0
326,-6.7872,42.9172,222.0
327,-6.743,42.9453,220.0
328,-6.7025,42.9425,239.0
329,-6.7472,43.0222,298.0
330,-6.7225,43.0428,289.0
331,-6.6789,43.0325,388.0
332,-6.6978,43.0125,401.0
333,-6.8869,42.9945,216.0
334,-6.8769,42.9992,243.0
335,-6.8247,43.065,353.0
336,-6.7958,43.1008,351.0
337,-6.6825,43.1614,198.0
