,Longitude,Latitude,TN [mg/kg]
178,-8.7294,42.6156,5300.0
179,-8.7575,42.5656,1900.0
180,-8.6203,42.5759,3700.0
181,-8.7041,42.4842,8300.0
182,-8.3491,42.5536,5000.0
183,-8.5842,42.212,3500.0
184,-8.58,42.2086,7400.0
185,-8.573,42.2522,3500.0
186,-7.9611,42.0425,4400.0
187,-8.0005,42.2945,3400.0
188,-7.3394,41.957,1200.0
189,-7.1347,42.1175,3700.0
190,-3.2225,43.3058,3400.0
191,-3.3589,43.3125,2100.0
192,-3.4475,43.1522,4200.0
193,-3.4497,43.1483,5600.0
194,-3.5839,43.1578,3000.0
195,-3.5925,43.1608,1700.0
196,-3.6053,43.2031,2400.0
197,-3.63,43.2045,19800.0
198,-3.6756,43.2239,2200.0
199,-3.6906,43.2286,1900.0
200,-3.6683,43.2467,2000.0
201,-3.6478,43.2981,3500.0
202,-3.7706,43.2669,2700.0
203,-3.7433,43.2147,3100.0
204,-3.7517,43.1178,2500.0
205,-3.7528,43.1142,3300.0
206,-3.8167,43.1731,6600.0
207,-3.8175,43.0803,5500.0
208,-3.8544,43.0464,5000.0
209,-3.8597,43.042,2900.0
210,-3.8894,43.0492,3700.0
211,-3.9114,43.035,2900.0
212,-3.9786,43.0361,3500.0
213,-3.9572,43.0753,2300.0
214,-3.9619,43.0895,7700.0
215,-3.9731,43.2042,2200.0
216,-4.1406,43.2014,4200.0
217,-4.1242,43.1197,11760.0
218,-4.0458,43.0961,5300.0
219,-4.0447,43.0925,9900.0
220,-4.0842,43.0767,3700.0
221,-4.0617,43.0731,3200.0
222,-4.0369,43.045,2200.0
223,-4.0661,43.0345,3200.0
224,-4.1042,43.0225,8200.0
225,-3.8489,42.9236,1400.0
226,-3.8867,42.9189,2500.0
227,-3.9511,42.8936,2100.0
228,-3.9011,42.8045,900.0
229,-3.913,42.7978,400.0
230,-3.9592,42.8114,2500.0
231,-3.9961,42.8492,2100.0
232,-4.0542,42.8114,500.0
233,-4.0464,42.8792,3500.0
234,-4.0372,42.9195,1900.0
235,-4.0592,42.9514,700.0
236,-4.1014,42.9347,2200.0
237,-4.1255,42.967,2100.0
238,-4.1436,42.9489,1000.0
239,-4.2136,42.9681,1600.0
240,-4.2472,42.9675,8000.0
241,-4.2444,42.9728,2600.0
242,-4.2292,43.0681,3900.0
243,-4.275,43.1047,1400.0
244,-4.3719,43.0433,1900.0
245,-4.3897,43.07,3300.0
246,-4.3286,43.2303,3200.0
247,-4.3369,43.1867,2500.0
248,-4.4678,43.2422,2400.0
249,-4.4658,43.1236,2600.0
250,-4.4953,43.1033,2900.0
251,-4.5164,43.1336,1000.0
252,-4.5422,43.1856,2800.0
253,-4.6633,43.0561,2900.0
254,-4.7561,43.0828,3300.0
255,-4.7533,43.085,4700.0
256,-4.7539,43.1022,4300.0
257,-4.7864,43.167,4100.0
258,-4.7594,43.182,6500.0
259,-4.715,43.1508,2500.0
260,-4.6589,43.2369,5300.0
261,-4.6842,43.2258,7300.0
262,-4.678,43.3536,16800.0
263,-4.6889,43.3486,5000.0
264,-4.7217,43.2961,4600.0
265,-4.7258,43.2583,7300.0
266,-4.755,43.2367,4500.0
267,-4.7594,43.1947,6100.0
268,-4.9975,43.4031,6300.0
269,-4.9994,43.2889,2900.0
270,-4.9872,43.2792,3200.0
271,-4.993,43.2608,13600.0
272,-4.9986,43.262,5600.0
273,-5.013,43.2606,4300.0
