,Longitude,Latitude,pH
189,-3.6756,43.2239,4.4
190,-3.6906,43.2286,4.8
191,-3.6683,43.2467,4.8
192,-3.6478,43.2981,5.0
193,-3.7706,43.2669,4.9
194,-3.7433,43.2147,4.4
195,-3.7517,43.1178,4.2
196,-3.7528,43.1142,4.7
197,-3.8167,43.1731,4.7
198,-3.8175,43.0803,4.9
199,-3.8544,43.0464,4.1
200,-3.8597,43.042,4.4
201,-3.9114,43.035,4.7
202,-3.9786,43.0361,4.6
203,-3.9572,43.0753,4.9
204,-3.9731,43.2042,4.6
205,-4.1406,43.2014,4.2
206,-4.1242,43.1197,5.5
207,-4.0842,43.0767,4.6
208,-4.0617,43.0731,4.2
209,-4.0369,43.045,4.9
210,-4.0661,43.0345,4.7
211,-4.1042,43.0225,5.5
212,-3.8489,42.9236,4.4
213,-3.8867,42.9189,4.3
214,-3.9511,42.8936,4.1
215,-3.9011,42.8045,7.5
216,-3.9592,42.8114,5.0
217,-3.9961,42.8492,4.9
218,-4.0542,42.8114,5.1
219,-4.0464,42.8792,5.2
220,-4.0372,42.9195,4.1
221,-4.0592,42.9514,4.8
222,-4.1014,42.9347,4.6
223,-4.1255,42.967,4.7
224,-4.1436,42.9489,6.7
225,-4.2136,42.9681,6.0
226,-4.2472,42.9675,4.9
227,-4.2444,42.9728,4.3
228,-4.2292,43.0681,4.8
229,-4.275,43.1047,5.0
230,-4.3719,43.0433,4.8
231,-4.3286,43.2303,4.5
232,-4.3369,43.1867,4.4
233,-4.4678,43.2422,4.6
234,-4.4953,43.1033,4.7
235,-4.5164,43.1336,4.2
236,-4.5422,43.1856,5.3
237,-4.6633,43.0561,4.9
238,-4.7561,43.0828,4.7
239,-4.7533,43.085,4.6
240,-4.7539,43.1022,4.9
241,-4.7864,43.167,5.3
242,-4.7594,43.182,5.7
243,-4.715,43.1508,4.9
244,-4.6589,43.2369,6.9
245,-4.6842,43.2258,6.8
246,-4.678,43.3536,4.9
247,-4.7217,43.2961,5.9
248,-4.7258,43.2583,6.9
249,-4.755,43.2367,4.8
250,-4.7594,43.1947,5.8
251,-4.9872,43.2792,4.6
252,-4.993,43.2608,4.2
253,-4.9986,43.262,4.9
254,-5.0205,43.2642,4.9
255,-5.0172,43.2861,4.2
256,-5.2253,43.277,4.8
257,-5.2114,43.2025,5.1
258,-5.1564,43.1942,4.2
259,-5.1283,43.1458,4.3
260,-5.2164,43.1033,4.4
261,-5.2217,43.1106,7.4
262,-5.2914,43.1445,4.7
263,-5.3061,43.1008,4.4
264,-5.3861,43.2756,4.6
265,-5.3967,43.2725,4.6
266,-5.368,43.2333,4.3
267,-5.4778,43.2156,4.3
268,-5.4517,43.1889,4.6
269,-5.4372,43.192,4.8
270,-5.4255,43.1967,4.2
271,-5.4781,43.1533,4.2
272,-5.4025,43.0597,4.9
273,-5.4606,43.0736,4.1
274,-5.5189,43.1028,4.4
275,-5.525,43.2917,4.7
276,-5.6586,43.2222,4.4
277,-5.643,43.2228,4.2
278,-5.6244,43.1961,4.2
279,-5.6694,43.1325,4.5
280,-5.6903,43.1247,5.6
281,-5.675,43.1272,5.9
282,-5.7611,43.01,5.7
283,-5.7658,43.0008,4.8
284,-5.7928,42.9864,4.8
285,-5.8011,42.9861,4.9
286,-5.7783,43.1836,4.7
287,-5.8336,43.2256,4.6
288,-5.9264,43.2392,6.5
289,-5.925,43.185,4.9
290,-5.9053,43.1442,5.4
291,-5.8961,43.1397,4.2
292,-5.9086,43.0611,4.5
293,-5.8925,42.9925,4.8
294,-6.0086,43.0625,5.5
295,-5.9856,43.0911,4.2
296,-5.9772,43.185,5.1
297,-6.0033,43.1639,4.2
298,-6.0728,43.137,4.7
299,-6.0408,43.085,4.2
300,-6.1078,43.1975,5.3
301,-6.1605,43.1633,4.2
302,-6.0942,43.0589,4.5
303,-6.1169,43.0536,4.7
304,-6.1455,43.0508,6.7
305,-6.2394,43.057,6.7
306,-6.2383,43.0336,5.8
307,-6.3233,43.0617,5.5
308,-6.32,43.0917,4.1
309,-6.3364,43.1431,4.2
310,-6.2911,43.2233,4.4
311,-6.253,43.2278,6.7
312,-6.2825,43.4531,4.4
313,-6.3544,43.3781,4.8
314,-6.3992,43.3717,6.6
315,-6.3742,43.3442,4.1
316,-6.47,43.3303,4.4
317,-6.4286,43.2261,4.4
318,-6.4458,43.1781,4.3
319,-6.4647,43.0711,4.6
320,-6.4697,43.05,4.2
321,-6.4864,42.9739,4.1
322,-6.448,42.9461,4.3
323,-6.5264,42.9392,4.2
324,-6.5747,42.982,4.2
325,-6.6189,42.9542,4.3
326,-6.7872,42.9172,4.7
327,-6.7025,42.9425,4.2
328,-6.7472,43.0222,4.3
329,-6.8869,42.9945,5.0
330,-6.8769,42.9992,5.0
331,-6.8247,43.065,4.4
332,-6.6742,43.1528,5.7
333,-6.5728,43.1842,5.0
334,-6.5553,43.2142,5.0
335,-6.5844,43.232,4.9
336,-6.79,43.2017,4.6
337,-6.7694,43.2292,4.8
338,-6.7319,43.2597,4.8
339,-6.6705,43.3086,4.2
340,-6.6458,43.4691,4.6
341,-6.7269,43.332,4.1
342,-6.7569,43.3706,5.0
343,-6.8219,43.4406,4.6
344,-6.8358,43.4364,4.2
345,-6.9519,43.3703,4.3
346,-7.0125,43.347,4.7
347,-7.0267,43.3208,4.1
348,-6.9691,43.275,4.6
349,-6.86,43.2436,5.0
350,-6.9453,43.1347,4.1
351,-6.9547,43.1689,4.5
352,-7.0322,43.2736,4.8
353,-7.6697,43.5136,4.9
354,-7.5197,43.5813,4.6
355,-7.6461,43.5361,4.6
356,-7.4186,43.5947,4.4
357,-7.4953,43.5836,4.4
358,-7.4586,43.593,4.4
359,-7.46,43.4466,4.4
360,-7.4053,43.4541,4.5
361,-7.6181,43.4208,4.5
362,-7.6308,43.448,4.8
363,-7.5331,43.5925,4.8
364,-7.5628,43.548,4.3
365,-7.4897,43.4466,4.5
366,-7.5091,43.5183,4.9
367,-7.6908,43.3086,5.2
368,-7.6686,43.4947,5.2
369,-7.5828,43.5538,5.0
370,-7.5836,43.5141,4.7
371,-7.4253,43.4758,4.9
372,-7.635,43.4863,4.6
373,-7.5303,43.4647,4.4
374,-7.5464,43.4338,4.8
375,-7.5386,43.4902,4.7
376,-7.5881,43.4705,4.5
377,-7.5539,43.4638,4.4
378,-7.5336,43.5508,4.4
379,-7.4164,43.5911,4.5
380,-7.5389,43.5563,4.4
381,-7.4497,43.4627,4.7
382,-7.4461,43.4214,4.7
383,-8.8003,41.9341,4.8
384,-8.6783,42.0759,4.5
385,-8.7022,42.0448,5.1
386,-8.6208,42.5759,4.4
387,-8.7837,43.1647,5.3
388,-8.7337,43.1508,4.9
389,-8.9337,43.2369,5.1
390,-8.1292,41.9014,4.7
391,-8.1503,42.2341,4.4
392,-8.0336,42.4507,4.7
393,-7.3653,43.6147,4.8
394,-6.5203,43.5133,4.4
395,-6.1264,43.4947,4.4
396,-6.1483,43.5333,4.3
397,-7.8403,43.4481,4.8
398,-7.9697,43.4341,4.3
399,-7.9531,43.4174,4.2
400,-8.4198,42.9841,5.2
401,-8.3948,43.3174,5.6
402,-8.3323,43.3841,6.0
403,-8.3387,43.3974,5.0
404,-8.442,42.9508,5.2
405,-8.9698,43.0341,5.0
406,-8.342,43.3008,5.5
407,-2.2333,43.1008,6.0
408,-2.4694,43.2036,5.3
409,-1.9277,43.3174,4.8
410,-2.3286,42.937,5.9
411,-7.695,43.5247,4.2
412,-7.0502,43.0897,4.9
413,-7.5503,43.2508,4.7
414,-7.2503,42.9758,4.5
415,-6.9002,42.8008,4.6
416,-7.4875,42.6781,5.1
417,-7.3503,42.9258,5.1
418,-7.1363,42.8841,5.2
419,-7.303,42.6674,5.2
420,-0.7499,42.4563,7.8
421,-0.7415,42.4535,7.7
422,0.0085,42.573,7.7
423,0.1585,42.5702,7.8
424,0.1891,42.5591,7.8
425,0.1919,42.4369,7.8
426,0.9836,42.323,7.7
427,1.3419,42.3035,8.0
428,1.7503,42.0369,7.9
429,1.2641,41.9868,7.9
430,1.4641,42.023,7.8
431,1.403,42.0535,7.7
432,1.4808,42.0896,7.7
433,1.4975,42.0424,8.0
434,1.3891,42.0063,7.8
435,1.3419,41.9521,7.7
436,1.6753,41.973,7.7
437,1.6503,41.8702,7.8
438,1.6919,41.8591,8.2
439,1.8892,42.0035,8.1
440,1.7058,42.0063,8.4
441,1.581,41.9652,8.5
442,1.6753,41.9535,8.2
443,1.9808,42.0063,8.2
444,1.9753,42.0563,8.3
445,2.1336,41.8896,8.2
446,2.067,41.8063,8.0
447,0.9641,41.3702,6.2
448,0.903,41.3229,8.1
449,0.3002,40.8368,7.9
450,0.3335,40.7735,8.1
451,0.3252,40.6824,8.2
452,0.2224,40.7896,8.1
453,-0.6276,40.6396,7.0
454,-0.6499,40.6229,7.5
455,-0.5249,40.2757,7.3
456,-0.6749,40.3062,7.5
457,-0.7026,40.3229,7.7
458,-1.0193,40.4063,7.7
459,-1.3527,40.3396,7.5
460,-1.3582,40.3201,7.8
461,-0.8943,40.0229,6.1
462,-1.0138,40.0368,8.0
463,-0.986,40.0396,7.8
464,-1.1832,40.1285,7.9
465,-1.2027,40.1785,7.9
466,-1.386,40.2618,7.9
467,-1.3444,40.1896,8.1
468,2.017,41.3341,8.1
469,-1.5039,43.2488,5.0
470,-1.5394,43.156,5.5
471,-1.6667,43.1463,5.0
472,-1.6695,43.1745,5.9
473,-1.6689,43.1806,7.1
474,-1.7787,43.0082,4.7
475,-2.004,43.0623,4.1
476,-1.902,43.2031,5.4
477,-1.902,43.2053,5.1
478,-1.8578,43.167,4.8
479,-1.682,43.2442,4.8
480,-1.7208,43.262,4.7
481,-1.6833,43.2531,5.6
482,-1.6608,43.2933,5.5
483,-1.6522,43.2597,4.5
484,2.8203,42.216,7.6
485,2.742,42.1396,7.9
486,3.0003,42.1202,7.4
487,2.9962,42.0574,7.0
488,3.174,41.8827,6.4
489,2.1684,41.9174,7.8
490,2.0114,41.9118,8.0
491,1.7475,41.6841,7.4
492,2.0892,41.6257,7.6
493,2.035,41.6049,7.2
494,2.1636,41.7007,7.2
495,2.1892,41.6424,7.2
496,2.2072,41.6035,7.2
497,1.5058,41.4729,7.6
498,1.5669,41.4882,6.4
499,1.4919,41.4479,7.2
500,1.8753,41.3313,7.4
501,1.9031,41.3146,6.9
502,1.8775,41.3299,8.0
503,1.4016,41.4563,8.1
504,1.3975,41.4646,7.9
505,1.3786,41.4224,7.7
506,0.7766,41.009,7.9
507,0.7724,41.009,8.2
508,-0.861,41.9938,8.2
509,-0.8527,41.9841,8.1
510,-1.0544,41.3398,7.5
511,-0.8999,41.4604,8.0
512,-0.0665,41.3591,8.0
513,-0.0693,41.3424,8.1
514,-0.5249,41.7674,8.2
515,-0.5443,41.7757,7.7
516,-0.3776,41.7007,8.1
517,-0.3971,41.7174,8.4
518,0.853,41.4702,7.9
519,0.8502,41.4646,8.0
520,0.8808,41.4535,8.0
521,-0.4193,41.1202,8.0
522,-0.3499,41.009,7.9
523,-0.1748,40.9229,8.0
524,0.1002,40.8507,8.1
525,0.0863,40.8646,8.0
526,-0.0248,40.8007,8.0
527,-0.0526,40.7952,8.0
528,-0.0776,40.784,8.1
529,-0.911,42.1341,8.0
530,-0.9319,42.2559,8.1
531,2.1855,42.3009,6.8
532,2.0692,42.2599,7.7
533,2.1142,42.2994,6.8
534,2.1281,42.298,8.5
535,2.1281,42.2835,7.8
536,2.1781,41.9118,8.0
537,2.1809,41.9118,8.1
538,2.2114,41.9618,8.4
539,2.3289,41.8993,7.2
540,2.4198,41.951,6.0
541,2.417,41.9355,6.0
542,2.4031,41.9591,5.7
543,2.0086,42.2341,7.8
544,2.0156,42.2327,7.9
545,1.86,42.2507,6.1
546,1.7578,42.2196,7.7
547,1.7286,42.2341,6.6
548,1.678,42.2257,7.7
549,1.2614,42.3341,8.0
550,1.7483,42.3285,5.5
551,1.7905,42.3341,7.3
552,1.3378,42.428,5.5
553,1.3169,42.4299,4.9
554,1.1794,42.448,5.8
555,1.3244,42.5952,6.3
556,1.3419,42.5377,5.7
557,0.2307,42.6346,5.9
558,-0.0717,42.6481,6.7
559,0.1991,42.6327,5.7
560,-0.6561,42.7453,7.0
561,-0.7195,42.7258,5.2
562,-0.795,42.7425,6.6
563,-0.8272,42.7356,8.1
564,-0.8625,42.9217,6.0
565,-1.0728,42.8953,6.0
566,-1.1389,42.9264,5.1
567,-1.4249,42.9437,7.6
568,-1.3706,42.8453,6.8
569,-1.1272,42.7036,7.2
570,-1.1939,42.7461,7.8
571,-1.0111,42.6617,7.9
572,-0.927,42.6642,6.9
573,-0.9792,42.4353,7.6
574,-0.9914,42.3814,6.6
575,-0.5292,42.5267,6.2
576,-0.6221,42.3494,6.4
577,-1.6583,40.4618,8.2
578,-1.6633,40.4945,5.3
579,-1.6328,40.5287,5.7
580,-1.6256,40.3878,6.3
581,-1.4416,40.2785,7.9
582,1.0872,41.3591,5.9
583,1.0511,41.3368,6.7
584,0.2974,40.7118,8.2
585,0.246,40.7474,7.3
586,-0.6889,40.4003,8.0
587,-0.6972,40.4076,7.8
588,-0.8416,40.4062,8.1
589,2.1503,41.4202,7.0
590,2.4059,41.5852,7.0
591,2.3975,41.5868,6.6
592,2.4086,41.5743,6.6
593,2.3734,41.6231,6.8
594,2.3531,41.6285,6.2
595,2.3684,41.6266,6.4
596,2.7309,41.7332,7.0
597,2.7239,41.6646,6.3
598,2.3856,41.9327,5.5
599,2.3036,41.8757,6.1
600,2.4475,41.7507,6.3
601,2.3836,41.7549,5.4
602,2.7225,41.8507,5.5
603,2.7003,41.871,6.4
604,2.6239,41.7924,5.7
605,2.8328,41.8446,5.2
606,2.6975,41.7466,6.7
607,3.1017,41.9652,7.4
608,3.192,41.9907,8.3
609,2.5525,41.8152,7.0
610,2.6753,42.1424,7.0
611,2.8339,42.2096,6.2
612,3.0651,41.8091,7.5
613,3.0434,41.7932,6.2
614,-1.4464,41.2995,6.4
615,-1.4369,41.2809,6.7
616,-1.4172,41.2964,6.4
617,-1.1014,41.1773,6.0
618,-1.0903,41.1953,6.3
619,-0.6911,40.2413,7.0
620,-0.7695,40.2699,7.4
621,-0.8125,40.3523,7.0
622,-1.2589,40.3517,7.0
623,-1.3883,40.5023,6.5
624,-1.3742,40.3931,6.5
625,2.9337,41.9507,6.3
626,2.8837,42.0007,5.6
627,1.8308,42.3507,8.1
628,2.5725,41.8604,5.7
629,3.1837,42.0841,7.4
630,-0.4526,42.3341,6.5
631,0.353,42.6674,6.3
632,-0.5332,42.4508,5.3
633,-0.286,42.6841,6.7
634,0.0335,42.6008,5.7
635,-0.5832,42.6841,5.1
636,-0.2526,42.6341,7.2
637,-0.2998,42.2341,8.4
638,0.6697,42.7841,4.5
639,0.8502,42.5174,5.8
640,-1.4249,40.0229,5.7
641,-1.511,39.9729,7.5
642,-1.6027,40.0896,7.5
643,-1.6305,40.0285,7.9
644,-1.8083,39.7896,7.7
645,-1.8333,39.7868,6.4
646,-1.9249,39.8757,7.0
647,-2.1,39.8562,7.8
648,-2.2472,39.9731,6.6
649,-2.0416,40.0229,7.1
650,-2.0416,40.0285,7.1
651,-2.3944,40.0729,6.3
652,-2.0444,40.1229,6.5
653,-2.0456,40.0495,7.4
654,-2.1861,40.1868,7.5
655,-1.9249,40.2257,7.2
656,-2.0138,40.259,5.6
657,-1.8333,40.3701,7.1
658,-1.8833,40.3896,7.3
659,-2.1583,40.3868,7.0
660,-2.2611,40.4451,6.2
661,-2.1583,40.459,6.4
662,-2.0916,40.4951,7.5
663,-2.0111,40.5896,5.9
664,-2.1027,40.5896,7.5
665,-2.0805,40.5868,7.2
666,-2.2777,40.5729,7.7
667,-2.1861,40.609,7.5
668,-2.25,40.7257,7.7
669,-2.3639,40.6424,7.8
670,-2.2138,40.6924,8.0
671,-2.1861,40.7229,6.3
672,-2.1527,40.7979,7.9
673,-2.1277,40.659,7.8
674,-2.1166,40.6563,7.7
675,-3.325,41.6452,7.5
676,-3.3139,41.6396,6.0
677,-4.8695,40.4563,6.3
678,-2.3639,38.6562,7.5
679,-2.35,38.6423,7.6
680,-2.3666,38.6118,8.1
681,-2.38,38.5562,8.0
682,-2.4027,38.5395,7.7
683,-2.2889,38.4729,7.2
684,-2.6805,38.4201,8.0
685,-2.2666,38.134,7.6
686,-2.3,38.0951,7.3
687,-1.2999,39.034,7.6
688,-2.7667,39.0007,7.4
689,-2.05,38.3315,8.2
690,-4.6474,40.3297,5.8
691,-4.4445,40.7424,5.4
692,-4.9787,40.391,5.5
693,-5.1923,40.1812,5.6
694,-5.0196,41.0007,5.4
695,-4.5951,40.384,6.4
696,-4.8696,40.284,5.6
697,-4.4931,40.6001,5.8
698,-4.3844,40.5259,6.2
699,-4.9862,40.1673,5.1
700,-5.0362,40.234,6.1
701,-5.1779,40.2174,5.4
702,-4.7362,41.0174,6.1
703,-4.9362,40.2007,5.4
704,-5.2501,40.4507,5.7
705,-4.4612,40.5965,6.1
706,-4.3945,40.6257,5.8
707,-4.3444,40.5814,6.0
708,-4.3489,40.5759,6.7
709,-4.5001,40.7174,5.6
710,-4.1832,40.6738,5.2
711,-4.2014,40.6148,5.2
712,-4.4195,40.5479,5.9
713,-4.5529,40.3174,6.0
714,-4.8998,40.2499,5.6
715,-4.6836,40.3184,7.3
716,-4.9001,40.259,5.4
717,-4.9696,40.2507,4.6
718,-4.6146,40.194,6.5
719,-4.719,40.9757,6.1
720,-4.6861,40.9648,7.4
721,-5.5863,40.334,5.4
722,-4.3529,40.5707,6.5
723,-4.5001,40.5007,6.3
724,-4.6737,40.8257,6.5
725,-4.5668,40.3507,6.7
726,-5.0362,40.234,5.5
727,-5.2668,40.684,6.2
728,-4.9834,40.4007,5.8
729,-4.9862,40.3174,5.4
730,-4.6195,40.2049,5.6
731,-4.5001,40.384,5.2
732,-4.5001,40.334,5.9
733,-3.175,42.8341,4.7
734,-3.9028,41.6507,5.3
735,-3.3334,42.3674,5.2
736,-3.5417,42.0674,5.7
737,-3.3167,42.0174,6.1
738,-3.125,41.9341,4.5
739,-3.1333,42.3091,5.2
740,-3.1611,42.2881,5.1
741,-3.2195,42.3007,5.4
742,-3.4393,42.0626,7.1
743,-3.3806,41.8923,5.4
744,-2.9667,41.9674,6.1
745,-3.6583,41.9481,8.4
746,-3.1861,42.3341,6.8
747,-3.7336,42.6247,8.1
748,-3.1153,42.6675,7.5
749,-3.7483,42.6267,8.2
750,-4.7445,40.4618,5.5
751,-4.5325,40.3259,5.8
752,-4.5319,40.3148,6.1
753,-4.5258,40.3245,6.5
754,-5.0086,40.2759,5.8
755,-5.0097,40.3031,5.9
756,-4.5533,42.4822,5.9
757,-4.5889,42.4981,6.0
758,-4.7444,42.5314,5.8
759,-4.4755,42.5437,5.7
760,-4.5208,42.5336,6.0
761,-4.5472,42.5934,5.9
762,-4.5417,42.5892,5.4
763,-4.5361,42.5831,6.4
764,-4.8111,42.4675,5.7
765,-4.9181,42.687,6.2
766,-4.9078,42.6939,4.8
767,-5.2339,42.7818,5.9
768,-4.95,42.6481,5.1
769,-4.9167,42.6989,5.5
770,-4.8361,42.655,5.4
771,-5.2551,42.7363,5.3
772,-5.2584,42.7061,4.8
773,-5.7342,42.6856,5.3
774,-5.6922,42.7875,4.5
775,-5.6778,42.7858,4.5
776,-5.6931,42.7772,4.6
777,-5.6806,42.7884,5.3
778,-5.6805,42.7842,4.3
779,-4.0042,40.7877,5.1
780,-4.0112,40.7707,5.2
781,-4.049,40.7596,6.1
782,-4.0684,40.7735,5.2
783,-4.1421,40.6231,4.8
784,-4.1672,40.6008,5.6
785,-4.1357,40.63,4.9
786,-4.1538,40.65,5.9
787,-4.0276,40.7338,6.0
788,-4.0812,40.7315,5.5
789,-4.156,40.6045,6.1
790,-4.199,40.5663,6.0
791,-4.1775,40.5818,6.3
792,-4.1768,40.5773,6.9
793,-4.1378,40.7088,5.5
794,-4.002,40.689,7.0
795,-4.0042,40.6901,6.5
796,-4.0565,40.7732,6.0
797,-4.1349,40.6156,6.2
798,-4.114,40.641,6.4
799,-4.0322,40.7328,5.8
800,-4.0801,40.7438,6.0
801,-4.1689,40.5976,6.3
802,-4.0392,40.6926,6.1
803,-4.0161,40.5779,6.2
804,-4.0051,40.6751,5.7
805,-3.9688,40.577,6.4
806,-4.1118,40.614,6.2
807,-4.0389,40.6899,6.0
808,-4.0825,40.589,6.3
809,-4.0101,40.6774,5.5
810,-3.9609,40.6036,6.4
811,-3.9603,40.5581,6.2
812,-4.0239,40.5094,6.2
813,-4.0341,40.517,5.5
814,-3.9767,40.5517,6.7
815,-3.9217,40.9318,4.4
816,-3.8385,40.8323,4.3
817,-3.8041,40.83,5.4
818,-3.7688,40.8537,5.2
819,-3.7762,40.8771,5.2
820,-3.7864,40.9401,5.3
821,-3.6427,40.9436,5.6
822,-3.7987,40.9742,6.0
823,-3.7475,41.0126,4.4
824,-3.8739,40.909,5.7
825,-3.9139,40.8329,4.8
826,-3.6753,41.0556,5.1
827,-3.8534,40.7867,4.8
828,-3.9992,40.8549,4.4
829,-4.0167,40.8674,5.1
830,-4.0462,40.8451,5.5
831,-3.9072,41.018,5.4
832,-4.1794,40.7079,5.1
833,-3.8443,41.0047,4.9
834,-3.807,41.0237,5.3
835,-3.8394,41.0622,5.3
836,-4.1256,40.7401,5.5
837,-4.1278,40.7732,4.9
838,-4.1759,40.7066,5.9
