,Longitude,Latitude,Mg [mg/kg]
165,-3.6053,43.2031,58.0
166,-3.63,43.2045,592.0
167,-3.6756,43.2239,23.0
168,-3.6906,43.2286,108.0
169,-3.6683,43.2467,138.0
170,-3.6478,43.2981,191.0
171,-3.7706,43.2669,75.0
172,-3.7433,43.2147,47.0
173,-3.7517,43.1178,86.0
174,-3.7528,43.1142,136.0
175,-3.8167,43.1731,44.0
176,-3.8175,43.0803,72.0
177,-3.8544,43.0464,173.0
178,-3.8597,43.042,65.0
179,-3.8894,43.0492,43.0
180,-3.9114,43.035,105.0
181,-3.9786,43.0361,66.0
182,-3.9572,43.0753,152.0
183,-3.9619,43.0895,102.0
184,-3.9731,43.2042,51.0
185,-4.1406,43.2014,31.0
186,-4.0458,43.0961,118.0
187,-4.0447,43.0925,61.0
188,-4.0842,43.0767,315.0
189,-4.0617,43.0731,116.0
190,-4.0369,43.045,500.0
191,-4.0661,43.0345,200.0
192,-4.1042,43.0225,500.0
193,-3.8489,42.9236,30.0
194,-3.8867,42.9189,155.0
195,-3.9511,42.8936,157.0
196,-3.9011,42.8045,500.0
197,-3.913,42.7978,30.0
198,-3.9592,42.8114,290.0
199,-3.9961,42.8492,326.0
200,-4.0542,42.8114,137.0
201,-4.0464,42.8792,500.0
202,-4.0372,42.9195,113.0
203,-4.0592,42.9514,39.0
204,-4.1014,42.9347,107.0
205,-4.1255,42.967,66.0
206,-4.1436,42.9489,500.0
207,-4.2136,42.9681,377.0
208,-4.2472,42.9675,87.0
209,-4.2444,42.9728,117.0
210,-4.2292,43.0681,122.0
211,-4.275,43.1047,209.0
212,-4.3719,43.0433,72.0
213,-4.3897,43.07,79.0
214,-4.3286,43.2303,47.0
215,-4.3369,43.1867,39.0
216,-4.4678,43.2422,59.0
217,-4.4658,43.1236,57.0
218,-4.4953,43.1033,444.0
219,-4.5164,43.1336,98.0
220,-4.5422,43.1856,183.0
221,-4.6633,43.0561,184.0
222,-4.7561,43.0828,135.0
223,-4.7533,43.085,221.0
224,-4.7539,43.1022,356.0
225,-4.7864,43.167,500.0
226,-4.7594,43.182,500.0
227,-4.715,43.1508,299.0
228,-4.6589,43.2369,121.0
229,-4.6842,43.2258,500.0
230,-4.678,43.3536,500.0
231,-4.6889,43.3486,199.0
232,-4.7217,43.2961,306.0
233,-4.7258,43.2583,368.0
234,-4.755,43.2367,500.0
235,-4.7594,43.1947,500.0
236,-4.9975,43.4031,188.0
237,-4.9994,43.2889,39.0
238,-4.9872,43.2792,72.0
239,-4.993,43.2608,339.0
240,-4.9986,43.262,199.0
241,-5.013,43.2606,60.0
242,-5.0205,43.2642,83.0
243,-5.0172,43.2861,96.0
244,-5.195,43.4369,202.0
245,-5.2253,43.277,133.0
246,-5.2114,43.2025,482.0
247,-5.1564,43.1942,117.0
248,-5.1283,43.1458,187.0
249,-5.2164,43.1033,133.0
250,-5.2217,43.1106,292.0
251,-5.2914,43.1445,69.0
252,-5.3061,43.1008,312.0
253,-5.3217,43.1111,78.0
