,Longitude,Latitude,Sand [%]
189,-7.9611,42.0425,69.2
190,-8.0005,42.2945,19.5
191,-7.3394,41.957,34.1
192,-7.1347,42.1175,32.0
193,-3.2225,43.3058,17.7
194,-3.3589,43.3125,19.3
195,-3.4475,43.1522,47.7
196,-3.4497,43.1483,64.5
197,-3.5839,43.1578,64.2
198,-3.5925,43.1608,17.2
199,-3.6053,43.2031,72.8
200,-3.63,43.2045,61.6
201,-3.6756,43.2239,69.8
202,-3.6906,43.2286,40.3
203,-3.6683,43.2467,54.8
204,-3.6478,43.2981,35.0
205,-3.7706,43.2669,30.2
206,-3.7433,43.2147,49.5
207,-3.7517,43.1178,38.4
208,-3.7528,43.1142,55.8
209,-3.8167,43.1731,41.0
210,-3.8175,43.0803,58.0
211,-3.8544,43.0464,31.0
212,-3.8597,43.042,51.3
213,-3.8894,43.0492,29.8
214,-3.9114,43.035,63.0
215,-3.9786,43.0361,51.2
216,-3.9572,43.0753,44.6
217,-3.9619,43.0895,68.4
218,-3.9731,43.2042,57.0
219,-4.1406,43.2014,55.0
220,-4.1242,43.1197,39.9
221,-4.0458,43.0961,31.0
222,-4.0447,43.0925,35.5
223,-4.0842,43.0767,33.4
224,-4.0617,43.0731,22.9
225,-4.0369,43.045,4.4
226,-4.0661,43.0345,16.4
227,-4.1042,43.0225,6.3
228,-3.8489,42.9236,71.2
229,-3.8867,42.9189,40.9
230,-3.9511,42.8936,38.8
231,-3.9011,42.8045,52.7
232,-3.913,42.7978,82.7
233,-3.9592,42.8114,31.5
234,-3.9961,42.8492,39.4
235,-4.0542,42.8114,70.5
236,-4.0464,42.8792,31.0
237,-4.0372,42.9195,55.2
238,-4.0592,42.9514,64.2
239,-4.1014,42.9347,49.3
240,-4.1255,42.967,66.2
241,-4.1436,42.9489,13.2
242,-4.2136,42.9681,41.2
243,-4.2472,42.9675,37.2
244,-4.2444,42.9728,44.2
245,-4.2292,43.0681,34.8
246,-4.275,43.1047,29.8
247,-4.3719,43.0433,43.7
248,-4.3897,43.07,31.2
249,-4.3286,43.2303,33.8
250,-4.3369,43.1867,25.5
251,-4.4678,43.2422,41.0
252,-4.4658,43.1236,77.8
253,-4.4953,43.1033,39.8
254,-4.5164,43.1336,29.7
255,-4.5422,43.1856,28.5
256,-4.6633,43.0561,28.0
257,-4.7561,43.0828,20.0
258,-4.7533,43.085,37.5
259,-4.7539,43.1022,26.5
260,-4.7864,43.167,26.0
261,-4.7594,43.182,19.0
262,-4.715,43.1508,25.8
263,-4.6589,43.2369,43.8
264,-4.6842,43.2258,46.0
265,-4.678,43.3536,47.1
266,-4.6889,43.3486,82.7
267,-4.7217,43.2961,31.7
268,-4.7258,43.2583,33.9
269,-4.755,43.2367,18.6
270,-4.7594,43.1947,10.5
271,-4.9975,43.4031,73.7
272,-4.9994,43.2889,69.4
273,-4.9872,43.2792,26.2
274,-4.993,43.2608,20.2
275,-4.9986,43.262,24.5
276,-5.013,43.2606,53.3
277,-5.0205,43.2642,21.5
278,-5.0172,43.2861,53.5
279,-5.195,43.4369,82.6
280,-5.2253,43.277,17.1
281,-5.2114,43.2025,10.8
282,-5.1564,43.1942,19.2
283,-5.1283,43.1458,6.0
284,-5.2164,43.1033,19.1
285,-5.2217,43.1106,22.4
286,-5.2914,43.1445,19.8
287,-5.3061,43.1008,18.3
288,-5.3217,43.1111,15.7
289,-5.3861,43.2756,49.7
290,-5.3967,43.2725,30.7
291,-5.368,43.2333,39.5
292,-5.4778,43.2156,32.6
293,-5.4517,43.1889,31.0
294,-5.4372,43.192,23.5
295,-5.4255,43.1967,27.9
296,-5.4781,43.1533,27.9
297,-5.4025,43.0597,16.5
298,-5.4606,43.0736,31.0
299,-5.5189,43.1028,14.9
300,-5.5889,43.0681,27.8
301,-5.525,43.2917,24.0
302,-5.6586,43.2222,17.7
303,-5.643,43.2228,30.0
304,-5.6244,43.1961,18.7
305,-5.6694,43.1325,46.3
306,-5.6903,43.1247,21.3
307,-5.675,43.1272,31.7
308,-5.6883,43.1147,23.8
309,-5.7611,43.01,11.2
310,-5.7658,43.0008,36.7
311,-5.7928,42.9864,42.6
312,-5.8011,42.9861,46.0
313,-5.7783,43.1836,36.0
314,-5.8336,43.2256,22.8
315,-5.9264,43.2392,31.2
316,-5.925,43.185,24.4
317,-5.9053,43.1442,20.0
318,-5.8961,43.1397,28.0
319,-5.9086,43.0611,39.1
320,-5.8925,42.9925,41.8
321,-6.0086,43.0625,23.7
322,-5.9856,43.0911,57.0
323,-5.9772,43.185,18.2
324,-6.0033,43.1639,57.2
325,-6.0728,43.137,40.8
326,-6.0472,43.0967,39.2
327,-6.0408,43.085,13.0
328,-6.1325,43.2378,57.9
329,-6.1078,43.1975,27.7
330,-6.1605,43.1633,20.5
331,-6.0942,43.0589,52.2
332,-6.1169,43.0536,13.2
333,-6.1455,43.0508,48.0
334,-6.2394,43.057,11.8
335,-6.2383,43.0336,18.5
336,-6.3233,43.0617,25.8
337,-6.32,43.0917,73.4
338,-6.3364,43.1431,41.7
339,-6.2911,43.2233,29.6
340,-6.2678,43.28,41.6
341,-6.2825,43.4531,52.2
342,-6.3544,43.3781,24.5
343,-6.3992,43.3717,20.7
344,-6.3742,43.3442,68.8
345,-6.47,43.3303,35.4
346,-6.3722,43.3097,76.1
347,-6.4286,43.2261,58.8
348,-6.4458,43.1781,30.8
349,-6.4658,43.0995,50.6
350,-6.4647,43.0711,52.2
351,-6.4697,43.05,36.5
352,-6.4283,43.07,56.1
353,-6.3772,43.06,53.7
354,-6.4275,42.9939,43.8
355,-6.4864,42.9739,40.3
356,-6.448,42.9461,48.2
357,-6.5264,42.9392,43.2
358,-6.5747,42.982,41.7
359,-6.6189,42.9542,48.4
360,-6.7872,42.9172,41.4
361,-6.743,42.9453,38.8
362,-6.7025,42.9425,42.2
363,-6.7472,43.0222,52.2
364,-6.7225,43.0428,60.5
365,-6.6789,43.0325,39.3
366,-6.6978,43.0125,47.8
367,-6.8869,42.9945,55.7
368,-6.8769,42.9992,39.0
369,-6.8247,43.065,34.2
370,-6.7958,43.1008,50.3
371,-6.6825,43.1614,60.5
372,-6.6742,43.1528,50.8
373,-6.5728,43.1842,27.5
374,-6.5553,43.2142,25.0
375,-6.5844,43.232,22.0
376,-6.6661,43.2631,61.8
377,-6.6758,43.2689,65.5
378,-6.79,43.2017,20.0
379,-6.7694,43.2292,14.0
380,-6.7319,43.2597,18.2
381,-6.6705,43.3086,47.0
382,-6.6458,43.4691,17.4
383,-6.7269,43.332,42.8
384,-6.7569,43.3706,45.5
385,-6.8219,43.4406,65.6
386,-6.8358,43.4364,27.7
387,-6.9519,43.3703,12.5
388,-7.0125,43.347,31.7
389,-7.0267,43.3208,41.5
390,-6.9691,43.275,18.0
391,-6.86,43.2436,19.5
392,-6.9453,43.1347,34.5
393,-6.9547,43.1689,22.4
394,-7.0322,43.2736,16.2
395,-7.6697,43.5136,50.5
396,-7.5197,43.5813,71.0
397,-7.6461,43.5361,73.5
398,-7.4186,43.5947,77.0
399,-7.4953,43.5836,61.0
400,-7.4586,43.593,39.5
401,-7.4342,43.5872,68.5
402,-7.46,43.4466,69.0
403,-7.4053,43.4541,57.8
404,-7.6181,43.4208,75.0
405,-7.6308,43.448,66.5
406,-7.5331,43.5925,77.0
407,-7.5628,43.548,64.0
408,-7.4897,43.4466,69.5
409,-7.5091,43.5183,59.5
410,-7.6908,43.3086,60.7
411,-7.6686,43.4947,64.5
412,-7.5828,43.5538,76.5
413,-7.5836,43.5141,67.0
414,-7.4253,43.4758,63.5
415,-7.635,43.4863,76.3
416,-7.5303,43.4647,79.5
417,-7.5464,43.4338,65.5
418,-7.5386,43.4902,64.0
419,-7.5881,43.4705,81.5
420,-7.5942,43.4619,83.0
421,-7.5539,43.4638,82.5
422,-7.5336,43.5508,77.3
423,-7.4164,43.5911,69.5
424,-7.5389,43.5563,67.5
425,-7.5114,43.5413,5.0
426,-7.4497,43.4627,65.0
427,-7.4461,43.4214,42.0
428,-8.8003,41.9341,66.2
429,-8.6783,42.0759,69.9
430,-8.7022,42.0448,69.5
431,-8.6208,42.5759,73.5
432,-8.7837,43.1647,49.0
433,-8.7337,43.1508,54.1
434,-8.9337,43.2369,45.5
435,-8.1292,41.9014,75.7
436,-8.1503,42.2341,73.5
437,-8.0336,42.4507,58.1
438,-7.3653,43.6147,70.5
439,-6.5203,43.5133,49.6
440,-6.1264,43.4947,65.5
441,-6.1483,43.5333,10.0
442,-7.8403,43.4481,32.4
443,-7.9697,43.4341,21.0
444,-7.9531,43.4174,45.0
445,-8.4198,42.9841,43.0
446,-8.3948,43.3174,49.2
447,-8.3323,43.3841,49.5
448,-8.3387,43.3974,41.5
449,-8.442,42.9508,52.5
450,-8.9698,43.0341,61.0
451,-8.342,43.3008,53.0
452,-2.2333,43.1008,9.9
453,-2.4694,43.2036,28.0
454,-1.9277,43.3174,37.0
455,-2.3286,42.937,23.1
456,-7.695,43.5247,64.0
457,-7.0502,43.0897,18.0
458,-7.3252,42.4507,55.0
459,-7.5503,43.2508,52.0
460,-7.2503,42.9758,30.0
461,-6.9002,42.8008,38.0
462,-7.4875,42.6781,38.0
463,-7.3503,42.9258,39.5
464,-7.1363,42.8841,31.5
465,-7.303,42.6674,18.5
466,-0.7499,42.4563,30.6
467,-0.7415,42.4535,27.6
468,0.0085,42.573,27.7
469,0.1585,42.5702,11.2
470,0.1891,42.5591,21.6
471,0.1919,42.4369,18.7
472,0.9836,42.323,26.0
473,1.3419,42.3035,30.8
474,1.7503,42.0369,44.1
475,1.2641,41.9868,37.9
476,1.4641,42.023,31.5
477,1.403,42.0535,54.9
478,1.4808,42.0896,30.7
479,1.4975,42.0424,43.4
480,1.3891,42.0063,31.5
481,1.3419,41.9521,49.2
482,1.6753,41.973,18.2
483,1.6503,41.8702,27.3
484,1.6919,41.8591,25.2
485,1.8892,42.0035,46.0
486,1.7058,42.0063,16.7
487,1.581,41.9652,22.8
488,1.6753,41.9535,21.9
489,1.9808,42.0063,58.1
490,1.9753,42.0563,58.2
491,2.1336,41.8896,19.4
492,2.067,41.8063,23.2
493,0.9641,41.3702,64.9
494,0.903,41.3229,31.3
495,0.3002,40.8368,20.6
496,0.3335,40.7735,15.6
497,0.3252,40.6824,30.4
498,0.2224,40.7896,11.0
499,-0.6276,40.6396,11.0
500,-0.6499,40.6229,8.3
501,-0.5249,40.2757,23.8
502,-0.6749,40.3062,36.8
503,-0.7026,40.3229,34.8
504,-1.0193,40.4063,20.7
505,-1.3527,40.3396,9.8
506,-1.3582,40.3201,6.5
507,-0.8943,40.0229,67.0
508,-1.0138,40.0368,25.8
509,-0.986,40.0396,11.3
510,-1.1832,40.1285,29.9
511,-1.2027,40.1785,18.6
512,-1.386,40.2618,15.1
513,-1.3444,40.1896,24.8
514,2.017,41.3341,23.0
515,-1.5039,43.2488,13.5
516,-1.5394,43.156,10.5
517,-1.6667,43.1463,30.6
518,-1.6695,43.1745,38.6
519,-1.6689,43.1806,14.4
520,-1.7787,43.0082,5.2
521,-2.004,43.0623,8.4
522,-1.902,43.2031,22.6
523,-1.902,43.2053,24.6
524,-1.8578,43.167,31.4
525,-1.682,43.2442,24.5
526,-1.7208,43.262,16.7
527,-1.6833,43.2531,21.3
528,-1.6608,43.2933,25.9
529,-1.6522,43.2597,25.2
530,2.8203,42.216,42.0
531,2.742,42.1396,15.4
532,3.0003,42.1202,53.7
533,2.9962,42.0574,49.5
534,3.174,41.8827,69.6
535,2.1684,41.9174,23.1
536,2.0114,41.9118,30.5
537,1.7475,41.6841,39.3
538,2.0892,41.6257,59.2
539,2.035,41.6049,28.0
540,2.1636,41.7007,50.4
