,Longitude,Latitude,Carb [%]
192,-5.1168,36.9506,46.0
193,-6.1835,36.7506,41.7
194,-6.0502,36.7006,8.2
195,-6.0779,36.6841,1.9
196,-5.7335,36.7339,2.0
197,-5.6668,36.7673,11.6
198,-5.6168,36.8006,28.0
199,-5.5835,36.8173,2.2
200,-6.0502,36.5173,20.8
201,-6.0835,36.4839,1.1
202,-5.8335,36.2339,8.9
203,-5.3946,36.1837,15.6
204,-4.2834,43.3675,5.2
205,-3.65,43.3841,2.1
206,-4.1001,43.3008,5.3
207,-4.2445,43.0897,2.3
208,-0.1665,40.7507,54.9
209,-0.1665,40.7174,74.6
210,-0.2165,40.5507,37.0
211,-0.1332,40.6174,37.2
212,-0.0832,40.6507,25.3
213,-0.0498,40.6007,42.8
214,0.0002,40.584,16.1
215,0.2168,40.584,59.0
216,0.0668,40.3507,3.9
217,0.3835,40.3674,12.3
218,-0.2999,40.3007,4.8
219,0.0668,40.284,1.8
220,-0.1498,39.784,23.4
221,-0.3999,40.1507,37.5
222,-0.3165,40.1174,48.5
223,-0.4665,40.0507,41.8
224,-0.4332,40.0174,35.9
225,0.0335,40.1507,2.7
226,-0.0498,39.884,25.2
227,-0.5665,39.8007,42.9
228,-0.4332,39.7673,18.6
229,-0.4499,39.8007,16.5
230,-0.1998,39.7507,0.8
231,-0.1637,39.7673,0.9
232,-3.2167,39.4007,19.0
233,-2.9333,39.3507,7.9
234,-3.5667,39.234,1.7
235,-3.4334,39.2673,53.1
236,-3.1833,39.3173,13.7
237,-2.8667,39.284,38.4
238,-3.2417,39.1118,15.7
239,-3.1167,39.1173,54.0
240,-3.6536,38.9257,0.4
241,-3.3947,38.837,8.7
242,-3.2667,38.884,14.0
243,-3.0833,38.9173,9.9
244,-4.0801,38.734,0.4
245,-3.4334,38.8006,12.0
246,-3.0167,38.7006,22.9
247,-2.9833,38.8173,33.7
248,-2.8667,38.7673,20.0
249,-2.7167,38.684,36.3
250,-3.6,38.634,0.8
251,-3.4667,38.6006,1.0
252,-3.4834,38.6006,1.0
253,-3.4639,39.259,20.9
254,-3.2333,39.309,51.8
255,-3.3333,38.8173,2.3
256,-3.4084,38.8006,26.1
257,-3.0167,39.1895,45.0
258,-3.1542,39.3173,10.3
259,-5.1668,38.384,0.3
260,-4.8834,38.2006,0.9
261,-4.4001,38.0506,21.4
262,-5.0668,37.934,0.8
263,-4.8001,37.8673,26.0
264,-5.2501,37.7339,21.6
265,-5.0987,37.7784,1.6
266,-5.0765,37.8034,23.9
267,-5.0168,37.784,6.0
268,-4.9987,37.7312,10.5
269,-4.7834,37.8173,30.9
270,-4.7834,37.7673,31.0
271,-4.9334,37.5173,1.8
272,-4.6668,37.5173,66.4
273,-4.2667,37.4673,15.7
274,-4.4667,37.3673,6.0
275,-4.1334,37.3839,0.8
276,-4.3667,37.3173,56.2
277,-2.55,40.3507,32.1
278,-2.2333,40.4674,2.3
279,-2.2333,40.4674,35.7
280,-1.8666,40.4007,5.7
281,-1.9166,40.384,1.0
282,-2.8333,40.2007,39.1
283,-2.55,40.2174,13.4
284,-2.0333,40.2507,28.2
285,-1.9166,40.2507,1.8
286,-1.8333,40.2507,3.4
287,-3.0667,40.0507,39.3
288,-2.7,40.084,5.2
289,-2.55,40.134,4.4
290,-2.5166,40.1174,44.8
291,-2.3666,40.084,40.4
292,-2.1,40.1674,46.4
293,-2.0333,40.1673,12.7
294,-1.9499,40.034,1.0
295,-1.8999,40.034,1.0
296,-1.6666,40.1007,31.2
297,-2.0333,39.884,34.0
298,-1.9833,39.9674,1.0
299,-1.9833,39.9507,3.5
300,-1.9333,39.9674,50.1
301,-2.9,39.8173,63.0
302,-2.7333,39.5173,20.8
303,-2.7167,39.4673,15.6
304,-2.7333,39.4507,10.8
305,-2.75,39.384,20.4
306,-2.5166,40.5007,30.0
307,-2.7833,40.284,20.7
308,-2.4333,40.2007,38.1
309,-1.7963,40.4118,6.2
310,2.6837,42.2674,14.1
311,2.2003,42.3174,18.8
312,2.7337,42.1341,42.8
313,2.7503,41.9285,0.3
314,-2.55,37.6506,33.6
315,-2.45,37.7506,49.1
316,-2.4333,37.8173,24.3
317,-3.5667,37.4006,17.5
318,-2.7667,37.4839,19.0
319,-2.7667,37.3673,37.0
320,-2.5833,37.4506,34.0
321,-3.7334,37.2173,19.5
322,-3.7334,37.1673,24.7
323,-3.55,37.2506,27.3
324,-3.55,37.2673,28.4
325,-4.1001,37.3173,31.7
326,-3.1833,37.3172,1.0
327,-3.0667,37.3173,1.0
328,-3.1833,37.2673,41.0
329,-3.0167,37.1839,1.0
330,-4.0834,37.1673,1.0
331,-2.8167,37.3339,10.8
332,-4.0334,37.0839,11.1
333,-4.0334,37.0173,3.1
334,-3.9167,37.084,44.7
335,-3.4667,37.1006,64.0
336,-3.8,36.9839,56.0
337,-3.5334,37.0006,90.0
338,-3.3,36.9006,14.1
339,-3.0833,36.9506,6.1
340,-3.05,36.8839,26.3
341,-3.6,36.7839,9.4
342,-3.55,36.7673,27.6
343,-2.575,37.634,16.8
344,-2.55,37.6339,28.8
345,-2.55,37.6339,24.9
346,-2.5499,37.6339,38.9
347,-2.5847,37.6423,35.6
348,-3.7166,37.1006,23.4
349,-2.6833,41.1007,7.8
350,-2.5166,41.134,6.4
351,-3.1333,40.9007,52.8
352,-3.1,40.9507,70.0
353,-2.7167,40.884,1.1
354,-1.8666,40.9674,32.0
355,-3.4278,40.709,1.0
356,-3.0833,40.7674,6.2
357,-2.9833,40.784,5.0
358,-2.9667,40.7674,21.4
359,-2.6667,40.8007,23.5
360,-1.6999,40.7507,2.3
361,-1.5499,40.784,3.9
362,-3.3167,40.6007,1.7
363,-3.0833,40.3007,7.1
364,-3.15,40.734,9.3
365,-3.3167,40.6007,1.7
366,-3.1,40.934,70.0
367,-1.5833,40.7757,3.9
368,-2.8667,40.7674,1.9
369,-3.1667,40.5674,0.3
370,-3.0667,40.9924,1.0
371,-2.2677,43.2107,1.7
372,-6.6502,37.884,0.1
373,-6.3724,37.3728,12.8
374,-6.9332,37.2006,4.1
375,-6.4335,37.2839,0.3
376,-6.4502,36.9839,1.5
377,-0.8165,42.7341,17.8
378,-0.7165,42.7174,31.2
379,-0.5665,42.6841,12.5
380,-0.2998,42.7174,0.2
381,-0.8499,42.6008,2.5
382,-0.7832,42.5841,13.9
383,-0.4665,42.5341,49.5
384,0.0168,42.6341,1.3
385,0.1502,42.4674,0.4
386,0.0335,42.4341,5.0
387,-0.2665,42.4174,34.1
388,-0.6499,42.3007,3.8
389,-0.2332,42.2007,30.0
390,0.5002,42.2007,56.3
391,-0.7499,42.0007,49.0
392,-0.5832,42.0341,51.0
393,-0.7832,41.9841,41.0
394,-0.7665,41.9674,42.0
395,-0.6832,42.0007,26.0
396,-0.3665,41.9757,24.0
397,-0.2832,41.9466,10.9
398,-0.2832,41.941,17.9
399,-0.3498,41.9257,25.0
400,-0.2707,41.8702,26.0
401,-0.1998,41.8868,26.0
402,-0.4499,41.7507,17.5
403,-0.4165,41.7507,57.6
404,0.3335,41.6007,30.0
405,-0.1832,42.6174,16.8
406,-0.1332,42.5341,13.5
407,-2.7,38.5006,23.0
408,-2.6166,38.5006,54.2
409,-4.2334,38.0673,0.4
410,-4.1042,38.037,32.0
411,-4.0576,38.0356,49.0
412,-3.7667,38.0006,21.9
413,-2.9,38.0506,0.9
414,-4.0345,37.964,16.2
415,-3.9167,37.9662,25.8
416,-3.8667,37.9395,35.0
417,-3.7478,37.9831,13.8
418,-3.0667,37.834,44.0
419,-3.05,37.9673,42.0
420,-2.9,37.9673,25.4
421,-3.8175,37.7645,43.0
422,-3.8167,37.7506,43.6
423,-3.85,37.734,5.4
424,-3.8167,37.7173,62.7
425,-3.0,37.8006,24.5
426,-3.0192,37.6545,20.0
427,-2.1138,42.4091,3.5
428,-1.8527,42.2202,15.1
429,-2.0166,42.1174,12.4
430,-1.9499,42.1174,37.2
431,-5.4335,42.1174,1.9
432,1.7169,42.3507,6.6
433,1.8003,42.3507,45.4
434,1.6669,42.2174,49.9
435,1.4003,41.8007,32.7
