,Longitude,Latitude,TOC [%]
189,-7.9611,42.0425,7.13
190,-8.0005,42.2945,5.35
191,-7.3394,41.957,1.94
192,-7.1347,42.1175,6.08
193,-3.2225,43.3058,4.21
194,-3.3589,43.3125,2.45
195,-3.4475,43.1522,5.85
196,-3.4497,43.1483,16.33
197,-3.5839,43.1578,4.45
198,-3.5925,43.1608,2.2
199,-3.6053,43.2031,3.13
200,-3.63,43.2045,22.72
201,-3.6756,43.2239,2.58
202,-3.6906,43.2286,2.7
203,-3.6683,43.2467,2.2
204,-3.6478,43.2981,4.27
205,-3.7706,43.2669,3.87
206,-3.7433,43.2147,3.67
207,-3.7517,43.1178,4.5
208,-3.7528,43.1142,5.11
209,-3.8167,43.1731,8.93
210,-3.8175,43.0803,7.97
211,-3.8544,43.0464,6.92
212,-3.8597,43.042,3.88
213,-3.8894,43.0492,5.42
214,-3.9114,43.035,4.6
215,-3.9786,43.0361,5.03
216,-3.9572,43.0753,3.97
217,-3.9619,43.0895,13.22
218,-3.9731,43.2042,3.39
219,-4.1406,43.2014,6.43
220,-4.1242,43.1197,21.79
221,-4.0458,43.0961,7.2
222,-4.0447,43.0925,15.51
223,-4.0842,43.0767,4.71
224,-4.0617,43.0731,3.4
225,-4.0369,43.045,2.45
226,-4.0661,43.0345,3.16
227,-4.1042,43.0225,9.47
228,-3.8489,42.9236,1.65
229,-3.8867,42.9189,3.3
230,-3.9511,42.8936,2.88
231,-3.9011,42.8045,1.28
232,-3.913,42.7978,0.47
233,-3.9592,42.8114,3.54
234,-3.9961,42.8492,3.12
235,-4.0542,42.8114,0.73
236,-4.0464,42.8792,4.41
237,-4.0372,42.9195,3.51
238,-4.0592,42.9514,1.47
239,-4.1014,42.9347,3.37
240,-4.1255,42.967,3.55
241,-4.1436,42.9489,1.44
242,-4.2136,42.9681,2.44
243,-4.2472,42.9675,7.81
244,-4.2444,42.9728,5.14
245,-4.2292,43.0681,4.03
246,-4.275,43.1047,1.49
247,-4.3719,43.0433,2.31
248,-4.3897,43.07,7.08
249,-4.3286,43.2303,5.97
250,-4.3369,43.1867,3.7
251,-4.4678,43.2422,3.77
252,-4.4658,43.1236,4.35
253,-4.4953,43.1033,4.52
254,-4.5164,43.1336,0.8
255,-4.5422,43.1856,3.23
256,-4.6633,43.0561,3.9
257,-4.7561,43.0828,3.42
258,-4.7533,43.085,6.97
259,-4.7539,43.1022,6.83
260,-4.7864,43.167,3.75
261,-4.7594,43.182,7.21
262,-4.715,43.1508,2.87
263,-4.6589,43.2369,4.52
264,-4.6842,43.2258,8.62
265,-4.678,43.3536,15.09
266,-4.6889,43.3486,9.63
267,-4.7217,43.2961,5.67
268,-4.7258,43.2583,10.59
269,-4.755,43.2367,6.04
270,-4.7594,43.1947,6.25
271,-4.9975,43.4031,11.07
272,-4.9994,43.2889,3.2
273,-4.9872,43.2792,3.16
274,-4.993,43.2608,17.97
275,-4.9986,43.262,4.94
276,-5.013,43.2606,6.27
277,-5.0205,43.2642,1.27
278,-5.0172,43.2861,5.42
279,-5.195,43.4369,12.95
280,-5.2253,43.277,2.9
281,-5.2114,43.2025,6.7
