,Longitude,Latitude,C/N
833,-3.9195,43.3966,29.76
834,-4.0251,43.2508,4.27
835,-4.4029,41.0257,10.17
836,-4.2834,41.0549,12.39
837,-3.8653,41.1924,33.02
838,-4.2834,41.3674,6.96
839,-4.3917,41.3216,2.24
840,-4.1723,41.3313,4.71
841,-4.2626,41.3216,15.69
842,-4.507,40.8721,10.22
843,-3.6,41.5507,10.07
844,-4.1445,40.8007,4.34
845,-3.9667,40.9174,10.04
846,-3.8081,41.1368,14.2
847,-3.9417,41.1757,4.01
848,-3.5417,41.3257,4.03
849,-3.4095,41.2174,16.33
850,-4.0112,40.7896,17.4
851,-3.5584,41.1715,37.32
852,-4.3956,41.4118,20.62
853,-4.5284,41.159,25.0
854,-3.9962,40.9507,9.07
855,-3.9689,41.2818,9.56
856,-1.6194,40.5174,9.07
857,-1.3582,40.384,1.84
858,-0.6983,40.4009,12.1
859,-2.4833,42.0096,7.03
860,-2.4029,42.0841,25.67
861,-2.8611,41.9499,17.23
862,-2.7311,42.1119,13.18
863,-3.0179,41.8507,12.15
864,-2.5528,42.0035,22.62
865,-2.7,41.9619,6.09
866,-2.6694,41.9424,20.56
867,-2.8055,41.9102,4.09
868,-3.0445,41.3424,7.47
869,-1.8222,41.8035,15.14
870,-2.6436,41.4202,16.86
871,-2.3263,42.1205,10.25
872,-4.3694,40.2759,23.09
873,-4.0126,39.8215,1.2
874,-4.7876,39.6215,22.34
875,-4.5195,39.9173,5.06
876,-4.4579,39.5987,5.35
877,-4.6456,39.6007,7.35
878,-3.9917,39.8423,6.01
879,-4.0084,39.4651,13.44
880,-4.0917,39.4007,11.36
881,-6.4196,42.1799,7.09
882,-2.7333,42.6841,24.95
883,-1.6333,39.8007,7.21
884,-4.4167,40.8507,4.59
885,-4.4667,40.734,14.03
886,-3.2334,41.0174,10.14
887,-4.2501,40.784,12.18
888,-4.5334,39.7173,16.92
889,-2.6,40.7675,31.34
890,-3.5978,39.3426,31.98
891,-4.1994,40.6714,12.26
892,-5.3835,39.634,10.71
893,-3.9834,40.9674,10.31
894,-2.8666,41.0913,16.3
895,-3.3334,41.9174,6.91
896,-4.7334,39.4173,24.84
897,-1.2999,42.0674,22.25
898,-3.6167,42.8841,4.04
899,-5.1405,36.6011,9.88
900,-5.1304,36.6506,8.08
901,-4.9488,36.6637,9.47
902,-4.9475,36.7264,8.6
903,-3.3997,37.1384,9.51
904,-3.1656,37.1764,9.63
905,-3.4742,36.9344,12.79
906,-3.2786,36.9637,9.23
907,-3.0089,42.4065,7.36
908,-2.9361,42.3852,14.26
909,-3.0446,42.3401,10.43
910,-2.9818,42.3127,9.11
911,-2.6874,42.3101,7.93
912,-2.672,42.3087,7.1
913,-2.8447,42.2998,11.66
914,-2.8945,42.2614,12.0
915,-2.7812,42.2824,9.55
916,-2.734,42.25,8.01
917,-2.578,42.2541,12.13
918,-2.2339,42.2698,11.79
919,-3.0875,42.2081,12.04
920,-3.0694,42.1686,14.18
921,-2.9,42.2208,14.28
922,-2.845,42.2306,12.29
923,-2.5743,42.2294,10.8
924,-2.7185,42.1737,13.01
925,-2.6033,42.168,11.25
926,-2.5182,42.1292,4.79
927,-2.4651,42.1431,10.75
928,-1.8048,41.7949,20.01
929,-0.8361,42.8303,10.45
930,-0.982,42.4218,9.82
931,-0.1637,42.4836,10.44
932,-3.7233,38.5773,6.74
933,-2.6019,40.5718,11.21
934,-4.8644,40.5681,2.26
935,-4.9668,40.4007,12.53
936,-4.5063,40.8852,7.93
937,-3.9334,41.3507,11.63
938,-2.6025,41.0682,9.69
939,-3.1781,40.5814,10.57
940,-2.016,39.8629,11.4
941,-5.8075,39.9601,14.49
942,-3.9277,41.0166,10.88
943,-4.5261,40.4038,18.03
944,-1.509,41.0895,11.13
945,-2.808,41.1912,13.43
946,-5.7485,40.2182,10.59
947,-4.7769,41.5239,6.03
948,-3.2087,41.1993,21.26
949,-4.3953,40.3412,4.51
950,-1.5697,40.4836,17.51
951,-4.5616,40.9765,3.37
952,-3.1333,41.2007,6.89
953,-2.598,40.6398,9.49
954,-5.1547,41.6963,6.49
955,-2.4788,40.0641,10.02
956,-3.679,40.5363,4.21
957,-3.9285,40.7598,12.59
958,-2.6734,41.8728,5.44
959,-4.4673,39.3351,15.22
960,-4.6635,41.3343,3.96
961,-4.6031,41.4054,16.83
962,-3.2017,40.1012,4.82
963,-5.1672,41.4412,11.87
964,-4.9745,40.4089,8.04
965,-6.5027,42.1,18.63
966,-1.8571,40.1839,30.12
967,-3.5506,40.3263,5.42
968,-1.7117,40.541,10.73
969,-3.8891,40.8898,8.22
970,-4.3834,39.5173,25.27
971,-3.6,38.534,35.41
972,-4.4501,40.7507,15.13
973,-3.4826,41.148,11.48
974,-5.3668,39.584,19.6
975,-1.0999,42.7841,13.62
976,-4.1501,40.734,9.51
977,-1.7666,41.3507,2.63
978,-4.1501,40.8007,25.24
979,-1.9659,40.0961,15.75
980,-5.2001,40.634,7.73
981,-4.5001,41.1174,30.23
982,-2.4838,40.1001,10.95
983,-4.4834,40.3507,20.73
984,-5.0668,40.2174,13.72
985,-3.0333,40.5674,9.69
986,-5.7668,40.034,21.12
987,-3.1833,41.0674,12.19
988,-4.0667,40.9174,7.4
989,-0.8207,38.4762,15.72
990,-6.8836,43.5008,12.11
991,-0.7499,38.5173,40.63
992,-2.3138,40.6668,10.6
993,-4.5667,41.5481,11.22
994,-3.9334,41.2507,26.74
995,-5.0001,40.284,29.52
996,-2.7417,41.9174,16.99
997,-0.6715,38.5193,9.13
998,-3.9334,41.0007,7.6
999,-5.5001,41.517,9.01
1000,-3.3634,41.1482,9.38
1001,-1.9666,40.2007,25.42
1002,-5.5014,41.5174,2.73
1003,-0.5006,38.7518,11.58
1004,-4.5668,40.3174,8.51
1005,-4.5167,41.3314,3.49
1006,-2.8833,40.684,5.0
1007,-4.5167,41.4148,14.83
1008,-4.5334,40.0674,16.89
1009,-6.9002,39.4507,25.81
1010,-0.8332,38.5506,30.23
1011,-3.7334,38.434,12.79
1012,-4.95,41.4981,7.67
1013,-4.3042,42.9975,14.44
1014,-1.7166,40.8674,30.7
1015,-2.6,41.0674,14.83
1016,-1.8907,43.1138,13.06
1017,-1.8509,43.144,5.19
1018,-1.7341,43.2285,17.9
1019,-1.717,42.985,14.73
1020,-1.6724,43.0075,15.64
1021,-1.7218,43.0211,14.15
1022,-1.7592,43.0238,14.88
1023,-1.6054,43.0814,15.37
1024,-1.2802,43.1135,16.26
1025,-1.3117,43.073,20.82
1026,-1.2411,43.0084,8.61
1027,-1.2873,42.9337,6.57
1028,-1.4343,43.1301,12.15
1029,-1.4637,43.1824,23.77
1030,-1.6212,43.1825,9.62
1031,-1.9198,42.9389,4.71
1032,-2.1223,42.8844,37.94
1033,-1.7264,43.2382,18.27
1034,-3.1981,41.7981,8.18
1035,-0.0498,40.7007,12.83
1036,-5.7516,39.5367,13.64
1037,-5.0473,41.344,17.89
1038,-3.9667,41.2841,6.09
1039,-1.934,39.9973,23.37
1040,-2.7,42.2007,30.89
1041,-2.0999,40.9174,18.74
1042,-2.9339,37.889,24.01
1043,-3.0667,41.2031,10.32
1044,-6.0204,39.8601,23.3
1045,-4.3296,41.0256,12.06
1046,-4.6178,41.3648,17.58
1047,-4.0217,40.8607,17.51
1048,-3.7953,41.2941,9.21
1049,-5.4146,43.4705,12.02
1050,-0.9149,41.5896,6.75
1051,-3.4081,43.1188,20.35
1052,-4.7351,40.1487,14.23
1053,-2.4411,41.0188,8.02
1054,-4.3309,41.191,4.98
1055,-4.7119,41.4039,8.65
1056,-5.3243,40.2094,21.3
1057,-5.2485,40.4768,10.43
1058,-4.6868,40.7179,6.44
1059,-2.9397,40.5896,12.92
1060,0.0022,38.8616,11.75
1061,-0.6832,42.5174,12.94
1062,-8.5712,42.1902,11.5
1063,-3.8597,38.3671,14.68
1064,-1.6205,40.4976,10.72
1065,-3.8698,38.3499,13.63
1066,-4.2994,41.1669,6.85
1067,-1.7222,40.2279,9.99
1068,-6.2335,42.2507,22.01
1069,-4.2347,38.4088,13.9
1070,-5.9819,38.7603,12.16
1071,-0.6238,42.7411,17.01
1072,-4.3207,41.6342,10.62
1073,-4.7491,39.6349,9.48
1074,-5.3278,43.1095,10.55
1075,-5.0478,41.5846,7.29
1076,-5.0474,41.5848,7.29
1077,-1.8869,37.0329,6.98
1078,-6.5669,40.434,9.34
1079,-2.9481,41.9309,15.54
1080,-6.2665,41.4507,8.55
1081,-3.9237,40.9841,18.3
1082,-4.7766,39.6147,11.11
1083,-5.45,41.5167,4.98
1084,2.5359,41.9461,11.87
1085,2.5703,41.9372,9.73
1086,2.5706,41.9372,16.81
1087,2.5338,41.902,15.28
1088,2.5031,41.8716,19.01
1089,2.5187,41.8218,13.05
1090,2.5195,41.8718,15.02
1091,2.4569,41.871,10.17
1092,2.4887,41.8117,12.57
1093,2.541,41.9002,12.14
1094,2.4779,42.1398,9.54
1095,2.5251,42.1475,12.7
1096,2.7436,42.4097,11.26
1097,2.5896,41.6599,14.72
1098,2.5618,41.6733,13.18
1099,2.4386,41.8962,12.16
1100,2.4469,41.9052,12.48
1101,2.7168,41.9951,23.84
1102,2.7145,42.0065,14.36
1103,2.9215,41.9878,13.68
1104,2.5976,41.9715,12.75
1105,2.5884,41.9706,13.19
1106,2.5564,42.0171,12.01
1107,2.6002,41.8786,7.79
1108,2.693,41.8012,10.47
1109,2.625,41.786,10.55
1110,2.6013,41.8213,8.47
1111,2.5953,41.8328,8.83
1112,0.7219,42.8466,9.82
1113,0.8088,42.8133,10.8
1114,0.814,42.7782,12.74
1115,0.8404,42.776,14.01
1116,0.7139,42.674,11.24
1117,0.7701,42.6213,12.31
1118,1.7645,42.28,16.59
1119,1.8322,42.2915,21.09
1120,1.9496,42.2341,14.7
1121,1.756,42.0961,10.35
1122,2.1003,42.2705,14.16
1123,2.1822,42.2566,9.38
1124,2.1917,42.2558,11.86
1125,2.3509,42.1981,7.44
1126,2.4106,42.2012,8.3
1127,2.2959,42.108,15.09
1128,2.3769,42.1051,8.95
1129,2.3807,42.1077,8.19
1130,2.4334,42.0757,10.73
1131,2.4824,42.1395,11.76
1132,2.5121,42.1512,16.32
1133,2.9421,42.4689,17.26
1134,2.4479,41.7935,16.7
1135,2.4828,41.7982,10.14
1136,-7.362,43.4262,11.69
1137,-7.683,42.9848,11.8
1138,-7.5327,42.9995,10.37
1139,-6.9807,42.9688,13.91
1140,-7.2153,42.8518,11.84
1141,-6.9018,42.8397,8.14
1142,-7.0949,42.8186,10.87
1143,-7.0424,42.8145,10.65
1144,-7.6085,42.7856,14.7
1145,-7.2748,42.7413,15.68
1146,-7.1977,42.5883,11.41
1147,-7.2009,42.4244,9.79
1148,-8.2177,42.8164,11.41
1149,-8.1637,42.7788,10.99
1150,-8.11,42.636,10.85
1151,-7.79,42.7141,12.47
1152,-7.7196,42.5633,13.21
1153,-7.4735,42.4112,10.27
1154,-7.0779,42.4574,15.35
1155,-7.2789,42.3637,16.55
1156,-7.1597,42.3055,10.7
1157,-7.1052,42.1673,11.08
1158,-1.54,42.6916,13.39
1159,-1.1831,42.6541,24.22
1160,-1.5756,43.0009,14.48
1161,-1.5698,42.9873,13.73
1162,-1.5795,42.9929,13.37
1163,-1.6166,43.0311,12.99
1164,-1.6431,43.0436,17.66
1165,-0.8324,42.9247,10.32
1166,-0.8335,42.9181,11.37
1167,-0.903,42.9365,9.83
1168,-0.8986,42.9214,13.36
1169,-2.0177,42.9731,16.09
1170,-2.0057,42.9604,16.3
1171,-1.9798,42.9665,20.78
1172,-1.9454,42.9698,13.7
1173,-1.8906,42.9513,12.92
1174,-1.8723,42.9421,15.26
1175,-1.8878,43.0386,15.16
1176,-1.8815,43.0457,13.98
1177,-1.5075,43.0775,14.09
1178,-1.5338,43.0553,15.7
1179,-1.6382,43.0548,12.34
1180,-1.5875,43.0723,11.43
1181,-1.4158,43.2023,16.1
1182,-1.4448,43.2243,22.05
1183,-1.4581,43.2335,11.07
1184,-1.4132,43.1618,12.95
1185,-1.4806,43.0231,9.6
1186,-1.5318,43.0373,16.3
1187,-1.4305,43.0143,14.83
1188,-1.1526,42.9931,11.37
1189,-1.1837,42.9773,18.5
1190,-1.2557,42.9028,10.69
1191,-1.6612,43.0695,16.87
1192,-1.6992,43.0753,15.7
1193,-1.7271,43.1486,6.93
1194,-1.7705,43.0716,15.83
1195,-1.8053,43.1143,24.56
1196,-1.8825,43.125,19.45
1197,-1.0982,42.4456,13.37
1198,-0.8393,42.866,13.29
1199,-0.8374,42.8688,12.19
1200,-2.1809,42.7826,13.84
1201,-2.2148,42.8063,10.94
1202,-2.238,42.8145,11.18
1203,-1.2515,42.8767,18.74
1204,-1.3111,42.9361,25.71
1205,-1.3454,43.0302,15.79
1206,-1.4029,42.9914,11.18
1207,-1.3793,43.0001,12.61
1208,-2.0636,42.7988,8.43
1209,-2.0511,42.7972,13.86
1210,-1.4493,42.6544,6.77
1211,-1.0755,42.9855,9.06
1212,-1.0119,42.9638,8.77
1213,-1.2038,42.9597,11.8
1214,-1.2633,42.9804,12.92
1215,-2.4623,42.6114,13.11
1216,-2.14,42.7364,13.9
1217,-2.2547,42.7462,7.69
1218,-2.0354,42.7842,10.79
1219,-2.0625,42.9339,8.01
1220,-1.9383,42.9579,7.34
1221,-1.9998,42.8676,9.61
1222,-2.1039,42.864,9.75
1223,-1.7565,43.0366,9.88
1224,-1.7537,42.9913,6.44
1225,-1.8519,43.0508,10.81
1226,-1.8143,42.8388,11.08
1227,-1.8039,42.9333,9.72
1228,-2.0932,42.8417,6.72
1229,-1.2919,43.0105,10.97
1230,-2.0966,42.9432,7.12
1231,-1.7037,42.9772,9.65
1232,-2.5746,42.765,8.66
1233,-2.5171,42.7854,9.82
1234,-2.4079,42.6967,9.08
1235,-2.3632,42.7694,6.21
1236,-2.3105,42.7808,9.88
1237,-2.2333,42.8459,9.17
1238,-2.3273,42.9231,18.41
1239,-2.9179,42.9602,14.77
1240,-2.8713,42.9269,15.88
1241,-2.8859,42.98,18.48
1242,-2.8613,43.0295,24.84
1243,-2.6303,43.0632,7.6
1244,-2.6674,43.0237,11.32
1245,-2.7361,43.0239,14.15
1246,-2.6075,42.9866,9.62
1247,-3.2302,42.8664,10.52
1248,-3.2217,42.8889,10.17
1249,-2.7463,42.6286,9.7
1250,-2.6573,42.6238,10.26
1251,-2.0452,43.0994,10.4
1252,-2.3649,43.0773,11.15
1253,-2.5537,42.9675,10.63
1254,-1.894,43.2404,9.64
1255,-1.8248,43.2523,10.88
1256,-2.2794,42.9328,10.53
1257,-2.2104,42.9584,13.72
1258,-2.0728,42.979,8.87
1259,-6.6861,37.8888,11.23
1260,-6.6814,37.8932,13.03
1261,-6.6791,37.8967,11.31
1262,-6.6666,37.8956,10.78
1263,-6.6049,37.9043,9.25
1264,-6.5528,37.8969,12.57
1265,-6.5686,37.9017,11.39
1266,-6.5653,37.8981,7.04
1267,-5.728,37.9493,11.44
1268,-5.4316,37.8972,10.14
1269,-5.5722,37.9177,10.99
1270,-5.2609,36.5785,11.76
1271,-3.5869,43.1156,11.94
1272,-3.4266,43.126,17.44
1273,-3.2952,43.1769,14.92
1274,-3.3427,43.0651,10.58
1275,-3.191,43.0232,12.11
1276,-2.9979,42.9449,13.28
1277,-3.832,42.9415,9.97
1278,-3.6978,42.9633,12.81
1279,-4.1167,42.7147,14.49
1280,-3.8529,42.6857,14.35
1281,-3.3372,42.7094,15.5
1282,-3.1895,42.7045,12.55
1283,-3.1981,42.35,10.08
1284,-3.1429,42.3387,8.04
1285,-5.1983,36.5804,17.12
1286,-0.9617,38.5381,16.01
1287,-1.4722,43.0149,8.5
1288,-6.0488,40.5023,12.34
1289,-4.9744,40.3899,10.01
1290,-2.7032,40.6316,10.18
1291,-2.7255,40.6649,9.59
1292,-4.5272,41.1258,4.15
1293,-3.2449,40.9857,3.13
1294,-4.9906,40.1859,8.21
1295,-4.9403,40.2391,11.33
1296,-2.1085,40.766,6.9
1297,-4.141,39.4316,5.14
1298,-3.2555,40.9524,6.79
1299,-4.3328,40.3698,6.1
1300,-4.1386,40.6116,29.13
1301,-4.9956,40.3885,13.79
1302,-2.2536,40.9709,12.87
1303,-1.8857,40.2599,12.82
1304,-3.227,40.3658,16.86
1305,-3.544,40.9973,1.23
1306,-1.8702,41.0147,10.17
1307,-4.1574,40.5181,8.85
1308,-2.7403,40.5163,25.19
1309,-4.0001,40.9007,15.32
1310,-3.2878,41.1351,20.02
1311,-4.967,40.3888,14.89
1312,-3.2536,41.6901,5.09
1313,-4.4335,40.3241,34.3
1314,-3.4995,40.857,14.51
1315,-3.4636,40.8959,9.4
1316,-2.6186,41.1749,17.53
1317,-0.0949,40.4364,9.54
1318,-0.0852,40.436,13.82
1319,-5.7551,41.1798,10.9
1320,-5.7952,41.1923,9.19
1321,-5.7835,41.1927,11.21
1322,-5.7627,41.1735,20.54
1323,-5.7836,41.1933,28.68
1324,-5.7734,41.1943,29.94
1325,-0.0975,40.9304,5.87
1326,-0.099,40.9312,9.3
1327,-0.0977,40.9336,8.18
1328,-0.0977,40.9341,6.59
1329,-0.3182,41.3213,17.44
1330,-0.3469,41.3691,26.64
1331,-0.3456,41.3724,28.17
1332,-5.8941,41.2324,20.27
1333,-0.023,41.5819,22.24
1334,-0.0196,41.5801,24.9
1335,-0.4292,40.5975,12.47
1336,-0.0908,40.4345,21.74
1337,-5.8138,41.2706,20.69
1338,-5.8087,41.2662,16.91
1339,-0.4165,40.6645,18.81
1340,-0.4186,40.6619,15.46
1341,-0.3771,40.4925,12.22
1342,-0.6281,40.5224,14.23
1343,-0.6338,40.5268,14.67
1344,-0.5694,40.668,18.57
1345,-0.4086,40.5901,17.76
1346,-5.7249,41.1644,15.53
1347,-5.158,40.2357,2.25
1348,-0.0922,40.4093,16.72
1349,-4.0072,40.7537,14.2
1350,-3.7627,40.8501,11.99
1351,-2.4997,37.9451,12.41
1352,-5.3009,39.9861,2.6
1353,-4.5027,41.1996,21.51
1354,-4.9909,40.3741,18.38
1355,-4.1396,40.6128,37.06
1356,-4.7204,40.9839,14.3
1357,-4.5601,41.3158,18.94
1358,-3.8283,40.707,4.72
1359,-4.2159,40.7138,13.69
1360,-3.6698,41.0399,13.76
1361,-4.7353,40.1438,18.19
1362,-3.8977,40.4698,8.48
1363,-4.7801,41.3127,5.95
1364,-4.0271,41.4996,43.6
1365,-5.0334,40.4174,9.16
1366,-4.0263,40.8903,7.51
1367,-3.6274,40.5752,5.54
1368,-5.1079,39.9863,8.95
1369,-1.7378,40.6067,9.22
1370,-3.65,40.8,4.79
1371,-3.651,41.1089,7.73
1372,-4.1838,40.651,12.88
1373,-4.09,38.9425,6.07
1374,-4.5791,40.3051,16.02
1375,-2.5,42.5021,10.0
1376,-2.595,43.0236,15.1
1377,-2.4166,42.5341,11.1
1378,-2.6333,42.9924,20.1
1379,-2.5833,42.9508,16.5
1380,-2.5833,42.8549,12.2
1381,-2.6333,42.8424,10.8
1382,-2.6333,42.5008,15.6
1383,-2.7167,42.9341,15.3
1384,-2.55,42.823,16.8
1385,-2.4747,42.7347,14.8
1386,-2.4508,42.6852,12.6
1387,-2.303,42.7924,31.6
1388,-2.2722,42.8102,13.2
1389,-2.7833,42.5827,9.9
1390,-2.6667,42.5846,13.7
1391,-2.6166,42.4994,9.7
1392,-2.5666,42.5452,14.4
1393,-2.5,42.6016,7.6
1394,-2.4878,42.6222,15.5
1395,-2.45,39.2507,8.9
1396,-2.4277,39.2498,10.3
1397,-2.3486,39.2396,14.5
1398,-2.45,39.0618,12.3
1399,-2.0166,39.0173,10.9
1400,-1.8333,38.9173,9.0
1401,-1.8944,38.7256,12.1
1402,-1.8999,38.734,10.0
1403,-1.7333,38.8006,10.0
1404,-2.6655,38.6005,10.4
1405,-2.6988,38.6908,13.2
1406,-2.55,38.6506,6.6
1407,-2.55,38.5673,15.4
1408,-2.5,38.6173,10.1
1409,-2.4166,38.434,9.1
1410,-0.1498,38.8506,12.0
1411,-0.8166,38.7173,19.9
1412,-0.7832,38.734,12.1
1413,-0.5332,38.684,17.6
1414,-0.4832,38.7673,16.9
1415,-0.3832,38.734,11.5
1416,-0.0665,38.8006,9.3
1417,-0.6499,38.5173,12.7
1418,-0.6999,38.4673,11.1
1419,-0.6665,38.484,9.2
1420,-0.6499,38.4673,10.7
1421,-0.8166,38.184,10.3
1422,-0.7999,38.2006,9.2
1423,-0.7666,38.2006,11.9
1424,-0.5987,38.1923,23.2
1425,-0.5362,38.1273,11.6
1426,-0.6332,38.184,17.0
1427,-0.6665,38.1006,10.6
1428,-0.8166,37.884,13.5
1429,-2.1189,37.8506,11.0
1430,-2.15,37.884,10.8
1431,-2.2833,37.7006,8.8
1432,-2.0666,37.734,21.7
1433,-2.3,37.6006,10.8
1434,-2.1333,37.5506,12.1
1435,-2.5166,37.3506,7.0
1436,-2.4166,37.4173,9.0
1437,-2.35,37.4673,9.0
1438,-2.1387,37.3839,13.0
1439,-2.0833,37.4839,9.0
1440,-2.0625,36.8006,14.5
1441,-2.8167,37.1673,8.5
1442,-2.5666,37.3339,30.6
1443,-2.5833,37.2339,14.0
1444,-2.5166,37.2006,13.8
1445,-2.45,37.3006,17.8
1446,-2.3,37.3006,12.2
1447,-2.3,37.2006,11.6
1448,-2.2,37.1839,10.9
1449,-1.8833,37.2506,8.8
1450,-1.8333,37.2339,13.0
1451,-2.9167,37.0839,23.1
1452,-2.9,37.0173,12.6
1453,-2.7667,37.1173,12.2
1454,-2.8,37.1506,10.8
1455,-2.7333,37.0006,8.6
1456,-2.5666,37.0339,8.6
1457,-2.4166,37.0339,9.2
1458,-2.35,37.0839,7.7
1459,-2.25,37.1506,6.7
1460,-2.2333,37.0839,11.0
1461,-2.1333,37.1506,7.7
1462,-1.8833,37.0506,9.6
1463,-1.8499,37.1673,9.0
1464,-2.9833,36.9006,10.0
1465,-2.9167,36.9673,7.4
1466,-2.8833,37.0006,16.2
1467,-2.8833,36.8673,21.4
1468,-2.7667,36.9839,6.8
1469,-2.7667,36.8839,10.0
1470,-2.7167,36.8339,13.7
1471,-2.5833,36.9839,10.6
1472,-2.5166,36.8839,6.3
1473,-2.4833,36.9506,13.4
1474,-2.3333,37.0006,22.0
1475,-2.2166,36.9173,15.2
1476,-2.15,36.8673,9.5
1477,-2.0833,36.8506,8.0
1478,-1.9666,37.0006,9.0
1479,-2.0333,36.8839,9.0
1480,-3.1167,36.7673,12.0
1481,-2.95,36.7506,11.0
1482,-2.9333,36.8173,11.0
1483,-2.7333,36.7673,8.7
1484,-2.6833,36.7173,17.5
1485,-2.6166,36.7339,9.0
1486,-2.25,36.8339,13.0
1487,-2.2,36.7673,12.0
1488,-6.9836,43.5175,27.0
1489,-6.6835,43.5341,23.0
1490,-5.7668,43.5675,12.0
1491,-6.8502,43.4508,13.0
1492,-6.5002,43.4175,13.0
1493,-5.4335,43.4341,9.0
1494,-5.2668,43.4508,17.0
1495,-6.9336,43.1841,9.0
1496,-5.7835,43.2008,25.0
1497,-5.0835,43.3008,10.0
1498,-4.8334,41.0674,14.6
1499,-4.9501,41.1007,9.3
1500,-5.0501,40.884,12.2
1501,-4.9668,40.9507,11.5
1502,-4.9668,40.9674,10.6
1503,-5.1835,40.4174,9.9
1504,-5.0168,40.6507,9.5
1505,-5.0168,40.634,10.0
1506,-5.0168,40.6174,13.9
1507,-4.9168,40.634,15.3
1508,-5.0168,40.5174,13.3
1509,-4.8334,40.6007,13.0
1510,-4.7334,40.5174,12.8
1511,-4.5168,40.5507,14.1
1512,-4.4334,40.584,12.8
1513,-4.2167,40.634,20.6
1514,-5.2279,40.3604,11.5
1515,-5.3335,40.3396,11.0
1516,-5.2501,40.4007,11.0
1517,-5.0812,40.3576,14.0
1518,-4.9879,40.394,16.0
1519,-4.7668,40.5007,10.4
1520,-4.4654,40.3882,15.8
1521,-5.6668,40.3007,13.4
1522,-5.2301,40.279,14.0
1523,-5.1501,40.1799,29.0
1524,-5.1665,40.2262,13.0
1525,-5.1626,40.2382,16.5
1526,-5.1209,40.2187,29.0
1527,-5.0932,40.259,41.0
1528,-5.0334,40.284,23.1
1529,-5.0168,40.3007,11.0
1530,-5.0168,40.3174,12.9
1531,-5.3321,40.1479,21.0
1532,-5.0501,40.184,9.6
1533,-5.1001,40.2507,18.1
1534,-5.1001,40.2007,8.7
1535,-5.0112,40.3285,11.0
1536,-4.7668,40.6507,15.2
1537,-4.7668,40.6507,15.2
1538,-4.7584,40.984,14.1
1539,-4.7668,41.1174,13.5
1540,-6.853,39.0812,6.8
1541,-6.8669,39.1173,9.6
1542,-6.7169,39.184,17.8
1543,-5.7001,39.034,9.1
1544,-6.9835,38.9006,7.8
1545,-6.853,38.7912,10.9
1546,-6.8483,38.794,9.6
1547,-6.8463,38.7893,11.5
1548,-6.8424,38.794,10.5
1549,-6.7169,38.9673,6.7
1550,-6.5669,38.934,10.1
1551,-6.6169,38.8673,9.3
1552,-6.3669,38.8673,8.6
1553,-6.3502,38.8506,11.1
1554,-5.8168,38.984,8.8
1555,-5.8168,38.9673,7.8
1556,-5.6501,39.0173,9.4
1557,-5.2668,38.984,11.9
1558,-6.8335,38.8006,9.1
1559,-6.2835,38.684,8.4
1560,-5.8502,38.7006,12.4
1561,-5.7501,38.784,17.8
1562,-5.6335,38.734,25.0
1563,-5.5501,38.7506,12.8
1564,-6.9002,38.5506,9.0
1565,-6.8002,38.634,9.6
1566,-6.7002,38.6506,9.7
1567,-6.4169,38.584,9.7
1568,-6.3168,38.584,9.7
1569,-6.2835,38.5506,9.2
1570,-5.8668,38.584,9.1
1571,-5.7835,38.634,10.9
1572,-5.6501,38.634,12.8
1573,-5.6001,38.584,16.1
1574,-5.5168,38.6173,10.5
1575,-6.8169,38.4173,15.3
1576,-6.7669,38.6173,12.0
1577,-6.6002,38.434,8.5
1578,-6.5169,38.4006,8.3
1579,-6.3335,38.4673,8.8
1580,-6.3502,38.3673,9.1
1581,-5.8502,38.484,10.8
1582,-7.0002,38.284,9.9
1583,-6.7835,38.3173,8.4
1584,-6.6896,38.2251,7.7
1585,-6.6558,38.194,6.5
1586,-6.4835,38.2173,9.1
1587,-5.7168,38.284,10.7
1588,-6.5669,38.134,7.9
1589,-6.5335,38.034,11.2
1590,2.237,41.8213,8.8
1591,2.3253,41.8118,18.4
1592,2.3892,41.7785,24.9
1593,2.3336,41.7674,15.7
1594,2.3947,41.7285,22.2
1595,2.4392,41.7618,19.6
1596,1.5183,41.6202,9.7
1597,1.4336,41.5007,17.6
1598,2.367,41.534,15.0
1599,2.317,41.5007,15.0
1600,2.3586,41.5368,12.1
1601,2.3586,41.5229,9.5
1602,1.553,41.4515,9.9
1603,1.6749,41.428,5.9
1604,1.6269,41.3515,11.5
1605,1.8669,41.4007,16.0
1606,1.9305,41.3889,20.3
1607,1.9503,41.334,17.2
1608,1.967,41.3174,15.6
1609,2.0108,41.3302,15.3
1610,1.9528,41.2882,13.1
1611,1.9455,41.2696,14.3
1612,2.367,41.6841,17.0
1613,-3.8167,42.9174,19.4
1614,-3.1,42.6508,13.9
1615,-3.0668,42.1341,33.1
1616,-3.0667,42.1341,13.1
1617,-3.0167,42.0424,14.9
1618,-3.2833,41.9507,15.5
1619,-3.0333,41.9841,18.6
1620,-3.8834,41.7674,10.9
1621,-3.5667,41.6341,11.1
1622,-3.0333,41.9841,21.6
1623,-3.45,43.1174,16.0
1624,-6.2502,40.3507,33.3
1625,-6.7001,40.1998,13.2
1626,-6.6919,40.2424,29.3
1627,-6.5835,40.2174,18.2
1628,-6.5002,40.2507,25.6
1629,-6.1502,40.2174,11.6
1630,-6.0502,40.2507,13.4
1631,-5.6168,40.0174,17.4
1632,-5.7001,40.2674,12.3
