,Longitude,Latitude,C/N
189,-7.1347,42.1175,16.42
190,-3.2225,43.3058,12.38
191,-3.3589,43.3125,11.68
192,-3.4475,43.1522,13.94
193,-3.4497,43.1483,29.15
194,-3.5839,43.1578,14.83
195,-3.5925,43.1608,12.96
196,-3.6053,43.2031,13.06
197,-3.63,43.2045,11.47
198,-3.6756,43.2239,11.71
199,-3.6906,43.2286,14.2
200,-3.6683,43.2467,11.02
201,-3.6478,43.2981,12.21
202,-3.7706,43.2669,14.32
203,-3.7433,43.2147,11.85
204,-3.7517,43.1178,18.0
205,-3.7528,43.1142,15.49
206,-3.8167,43.1731,13.53
207,-3.8175,43.0803,14.49
208,-3.8544,43.0464,13.85
209,-3.8597,43.042,13.39
210,-3.8894,43.0492,14.64
211,-3.9114,43.035,15.86
212,-3.9786,43.0361,14.39
213,-3.9572,43.0753,17.26
214,-3.9619,43.0895,17.16
215,-3.9731,43.2042,15.41
216,-4.1406,43.2014,15.31
217,-4.1242,43.1197,18.53
218,-4.0458,43.0961,13.58
219,-4.0447,43.0925,15.67
220,-4.0842,43.0767,12.73
221,-4.0617,43.0731,10.63
222,-4.0369,43.045,11.15
223,-4.0661,43.0345,9.87
224,-4.1042,43.0225,11.55
225,-3.8489,42.9236,11.75
226,-3.8867,42.9189,13.19
227,-3.9511,42.8936,13.7
228,-3.9011,42.8045,14.21
229,-3.913,42.7978,11.63
230,-3.9592,42.8114,14.16
231,-3.9961,42.8492,14.87
232,-4.0542,42.8114,14.53
233,-4.0464,42.8792,12.59
234,-4.0372,42.9195,18.45
235,-4.0592,42.9514,21.01
236,-4.1014,42.9347,15.33
237,-4.1255,42.967,16.89
238,-4.1436,42.9489,14.36
239,-4.2136,42.9681,15.23
240,-4.2472,42.9675,9.76
241,-4.2444,42.9728,19.77
242,-4.2292,43.0681,10.35
243,-4.275,43.1047,10.67
244,-4.3719,43.0433,12.15
245,-4.3897,43.07,21.46
246,-4.3286,43.2303,18.64
247,-4.3369,43.1867,14.79
248,-4.4678,43.2422,15.7
249,-4.4658,43.1236,16.75
250,-4.4953,43.1033,15.6
251,-4.5164,43.1336,7.97
252,-4.5422,43.1856,11.54
253,-4.6633,43.0561,13.43
254,-4.7561,43.0828,10.38
255,-4.7533,43.085,14.82
256,-4.7539,43.1022,15.89
257,-4.7864,43.167,9.15
258,-4.7594,43.182,11.09
259,-4.715,43.1508,11.47
260,-4.6589,43.2369,8.52
261,-4.6842,43.2258,11.81
262,-4.678,43.3536,8.98
263,-4.6889,43.3486,19.27
264,-4.7217,43.2961,12.32
265,-4.7258,43.2583,14.5
266,-4.755,43.2367,13.42
267,-4.7594,43.1947,10.25
268,-4.9975,43.4031,17.57
269,-4.9994,43.2889,11.05
270,-4.9872,43.2792,9.87
271,-4.993,43.2608,13.21
272,-4.9986,43.262,8.82
273,-5.013,43.2606,14.58
274,-5.0205,43.2642,15.92
275,-5.0172,43.2861,15.48
276,-5.195,43.4369,19.33
277,-5.2253,43.277,15.24
278,-5.2114,43.2025,20.93
279,-5.1564,43.1942,13.15
280,-5.1283,43.1458,14.46
281,-5.2164,43.1033,13.83
282,-5.2217,43.1106,10.71
283,-5.2914,43.1445,10.22
284,-5.3061,43.1008,8.64
285,-5.3217,43.1111,13.91
286,-5.3861,43.2756,11.35
287,-5.3967,43.2725,9.4
288,-5.368,43.2333,10.46
289,-5.4778,43.2156,18.64
290,-5.4517,43.1889,14.92
291,-5.4372,43.192,11.71
292,-5.4255,43.1967,16.44
293,-5.4781,43.1533,16.44
294,-5.4025,43.0597,8.29
295,-5.4606,43.0736,12.4
296,-5.5189,43.1028,12.37
297,-5.5889,43.0681,14.24
298,-5.525,43.2917,11.77
299,-5.6586,43.2222,11.38
300,-5.643,43.2228,34.5
301,-5.6244,43.1961,21.47
302,-5.6694,43.1325,16.58
303,-5.6903,43.1247,9.44
304,-5.675,43.1272,14.17
305,-5.6883,43.1147,15.24
306,-5.7611,43.01,12.9
307,-5.7658,43.0008,11.46
308,-5.7928,42.9864,10.6
309,-5.8011,42.9861,13.72
310,-5.7783,43.1836,12.4
311,-5.8336,43.2256,9.43
312,-5.9264,43.2392,9.71
313,-5.925,43.185,9.24
314,-5.9053,43.1442,15.28
315,-5.8961,43.1397,13.01
316,-5.9086,43.0611,9.39
317,-5.8925,42.9925,13.09
318,-6.0086,43.0625,10.29
319,-5.9856,43.0911,19.66
320,-5.9772,43.185,12.58
321,-6.0033,43.1639,25.1
322,-6.0728,43.137,12.16
323,-6.0472,43.0967,15.29
324,-6.0408,43.085,13.99
325,-6.1325,43.2378,16.28
326,-6.1078,43.1975,10.33
327,-6.1605,43.1633,13.82
328,-6.0942,43.0589,18.69
329,-6.1169,43.0536,9.18
330,-6.1455,43.0508,14.8
331,-6.2394,43.057,11.43
332,-6.2383,43.0336,11.82
333,-6.3233,43.0617,13.22
334,-6.32,43.0917,13.22
335,-6.3364,43.1431,9.52
336,-6.2911,43.2233,11.26
337,-6.253,43.2278,16.43
338,-6.2678,43.28,12.04
339,-6.2825,43.4531,12.46
340,-6.3544,43.3781,9.97
341,-6.3992,43.3717,12.46
342,-6.3742,43.3442,17.3
343,-6.47,43.3303,10.15
344,-6.3722,43.3097,40.52
345,-6.4286,43.2261,11.82
346,-6.4458,43.1781,11.19
347,-6.4658,43.0995,20.51
348,-6.4647,43.0711,12.55
349,-6.4697,43.05,12.35
350,-6.4283,43.07,10.93
351,-6.3772,43.06,9.41
352,-6.4275,42.9939,12.06
353,-6.4864,42.9739,9.62
354,-6.448,42.9461,9.58
355,-6.5264,42.9392,16.33
356,-6.5747,42.982,10.67
357,-6.6189,42.9542,10.88
358,-6.7872,42.9172,11.7
359,-6.743,42.9453,17.21
360,-6.7025,42.9425,14.28
361,-6.7472,43.0222,11.36
362,-6.7225,43.0428,11.56
363,-6.6789,43.0325,17.2
364,-6.6978,43.0125,17.19
365,-6.8869,42.9945,17.59
366,-6.8769,42.9992,10.91
367,-6.8247,43.065,19.03
368,-6.7958,43.1008,15.95
369,-6.6825,43.1614,19.8
370,-6.6742,43.1528,13.97
371,-6.5728,43.1842,13.85
372,-6.5553,43.2142,13.44
373,-6.5844,43.232,8.87
374,-6.6661,43.2631,16.2
375,-6.6758,43.2689,20.87
376,-6.79,43.2017,10.54
377,-6.7694,43.2292,12.76
378,-6.7319,43.2597,14.06
379,-6.6705,43.3086,10.29
380,-6.6458,43.4691,10.67
381,-6.7269,43.332,13.21
382,-6.7569,43.3706,11.27
383,-6.8219,43.4406,13.85
384,-6.8358,43.4364,15.43
385,-6.9519,43.3703,13.3
386,-7.0125,43.347,6.1
387,-7.0267,43.3208,17.96
388,-6.9691,43.275,12.38
389,-6.86,43.2436,13.05
390,-6.9453,43.1347,12.73
391,-6.9547,43.1689,15.74
392,-7.0322,43.2736,10.72
393,-7.6697,43.5136,18.24
394,-7.5197,43.5813,11.75
395,-7.6461,43.5361,17.48
396,-7.4186,43.5947,29.6
397,-7.4953,43.5836,22.7
398,-7.4586,43.593,20.12
399,-7.4342,43.5872,23.82
400,-7.46,43.4466,21.11
401,-7.4053,43.4541,16.32
402,-7.6181,43.4208,13.19
403,-7.6308,43.448,20.93
404,-7.5331,43.5925,20.81
405,-7.5628,43.548,15.79
406,-7.4897,43.4466,14.86
407,-7.5091,43.5183,16.14
408,-7.6908,43.3086,9.05
409,-7.6686,43.4947,12.22
410,-7.5828,43.5538,10.07
411,-7.5836,43.5141,22.77
412,-7.4253,43.4758,17.91
413,-7.635,43.4863,16.4
414,-7.5303,43.4647,12.93
415,-7.5464,43.4338,10.96
416,-7.5386,43.4902,12.18
417,-7.5881,43.4705,17.82
418,-7.5942,43.4619,19.65
419,-7.5539,43.4638,19.25
420,-7.5336,43.5508,16.15
421,-7.4164,43.5911,20.87
422,-7.5389,43.5563,13.98
423,-7.5114,43.5413,20.03
424,-7.4497,43.4627,18.19
425,-7.4461,43.4214,10.09
426,-7.8403,43.4481,14.74
427,-8.9698,43.0341,12.22
428,-2.2333,43.1008,14.61
429,-2.3286,42.937,13.22
430,-7.695,43.5247,17.16
431,-7.3252,42.4507,25.22
432,-7.5503,43.2508,10.8
433,-7.2503,42.9758,8.71
434,-6.9002,42.8008,10.72
435,-0.7499,42.4563,11.05
436,-0.7415,42.4535,10.04
437,0.0085,42.573,11.16
438,0.1585,42.5702,11.79
439,0.1891,42.5591,11.21
440,0.1919,42.4369,10.47
441,0.9836,42.323,10.9
442,1.3419,42.3035,15.67
443,1.7503,42.0369,13.77
444,1.2641,41.9868,5.97
445,1.4641,42.023,13.6
446,1.403,42.0535,12.98
447,1.4808,42.0896,12.43
448,1.4975,42.0424,14.29
449,1.3891,42.0063,12.71
450,1.3419,41.9521,11.58
451,1.6753,41.973,13.33
452,1.6503,41.8702,7.69
453,1.6919,41.8591,7.66
454,1.8892,42.0035,12.24
455,1.7058,42.0063,10.73
456,1.581,41.9652,18.17
457,1.6753,41.9535,9.88
458,1.9808,42.0063,9.36
459,1.9753,42.0563,18.6
460,2.1336,41.8896,11.48
461,2.067,41.8063,16.32
462,0.9641,41.3702,17.44
463,0.903,41.3229,10.31
464,0.3002,40.8368,20.35
465,0.3335,40.7735,14.24
466,0.3252,40.6824,13.55
467,0.2224,40.7896,14.28
468,-0.6276,40.6396,25.25
469,-0.6499,40.6229,27.06
470,-0.5249,40.2757,26.68
471,-0.6749,40.3062,20.35
472,-0.7026,40.3229,16.76
473,-1.0193,40.4063,14.31
474,-1.3527,40.3396,19.52
475,-1.3582,40.3201,10.23
476,-0.8943,40.0229,9.14
477,-1.0138,40.0368,14.27
478,-0.986,40.0396,18.11
479,-1.1832,40.1285,13.1
480,-1.2027,40.1785,19.04
481,-1.386,40.2618,16.22
482,-1.3444,40.1896,19.16
483,-1.5039,43.2488,14.92
484,-1.5394,43.156,7.02
485,-1.6667,43.1463,15.84
486,-1.6695,43.1745,12.09
487,-1.6689,43.1806,9.71
488,-1.7787,43.0082,16.44
489,-2.004,43.0623,17.9
490,-1.902,43.2031,13.8
491,-1.902,43.2053,14.88
492,-1.8578,43.167,18.48
493,-1.682,43.2442,12.63
494,-1.7208,43.262,14.54
495,-1.6833,43.2531,13.18
496,-1.6608,43.2933,13.63
497,-1.6522,43.2597,13.88
498,2.9337,41.9507,21.43
499,0.353,42.6674,10.36
500,-0.5332,42.4508,1.54
501,0.0335,42.6008,21.62
502,-0.5832,42.6841,13.92
503,-0.2998,42.2341,6.49
504,-1.4249,40.0229,24.56
505,-1.511,39.9729,22.02
506,-1.6027,40.0896,20.71
507,-1.6305,40.0285,19.1
508,-1.8083,39.7896,14.93
509,-1.8333,39.7868,20.86
510,-1.9249,39.8757,18.15
511,-2.1,39.8562,14.47
512,-2.2472,39.9731,24.63
513,-2.0416,40.0229,26.27
514,-2.0416,40.0285,20.82
515,-2.3944,40.0729,20.35
516,-2.0444,40.1229,12.25
517,-2.0456,40.0495,12.53
518,-2.1861,40.1868,19.1
519,-1.9249,40.2257,17.09
520,-2.0138,40.259,26.63
521,-1.8333,40.3701,25.89
522,-1.8833,40.3896,20.63
523,-2.1583,40.3868,19.96
524,-2.2611,40.4451,28.37
525,-2.1583,40.459,20.22
526,-2.0916,40.4951,18.66
527,-2.0111,40.5896,16.69
528,-2.1027,40.5896,19.36
529,-2.0805,40.5868,15.5
530,-2.2777,40.5729,17.61
531,-2.1861,40.609,10.38
532,-2.25,40.7257,16.74
533,-2.3639,40.6424,20.98
534,-2.2138,40.6924,19.1
535,-2.1861,40.7229,13.16
536,-2.1527,40.7979,18.11
537,-2.1277,40.659,17.57
538,-2.1166,40.6563,15.43
539,-3.325,41.6452,22.49
540,-3.3139,41.6396,29.22
541,-4.8695,40.4563,14.83
542,-2.3639,38.6562,15.78
543,-2.35,38.6423,14.28
544,-2.3666,38.6118,14.28
545,-2.38,38.5562,16.86
546,-2.4027,38.5395,14.7
547,-2.2889,38.4729,17.93
548,-2.6805,38.4201,13.33
549,-2.2666,38.134,9.69
550,-2.3,38.0951,19.3
551,-4.5668,40.3507,11.86
552,-5.0362,40.234,6.81
