,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
311,43643106,,,,6.5,6.48,16.92,41.4,1,79.2,4.2,922.6,51.063616415,10.613393773,2015-06-15,2015-05-29,2015-07-02,5166,4384,4376,4555,4756,5423,5936,5089,6137,2157,147,3400,2983,0.05537121526337619
312,43583108,,,,3.8,3.84,10.11,30.9,0,21.3,2.0,123.8,51.082014545,10.528011918999999,2015-06-15,2015-05-29,2015-07-02,3371,3015,2854,2637,2701,3501,4016,3828,4257,1354,148,1571,1316,0.1842227378190255
313,43583104,,,,7.2,7.51,28.2,24.6,156,54.2,2.7,739.4,51.046059846999995,10.527602053999999,2015-06-15,2015-05-29,2015-07-02,5317,5007,4900,4841,4897,5501,5876,5619,6030,2573,223,2589,2380,0.07437858508604206
314,42542896,,,,6.6,6.59,18.86,11.2,1,65.3,1.3,219.7,49.173312868000004,9.081357156000001,2015-09-26,2015-09-09,2015-10-13,6502,7391,7165,7777,7895,8176,8356,8418,8546,4945,277,6516,5455,0.03958011732016054
315,43343040,,,,7.3,7.41,25.8,37.5,19,53.6,4.3,466.0,50.471779098,10.183109213,2015-06-11,2015-05-25,2015-06-28,5955,5798,5661,5751,5675,6183,6477,6298,6575,3445,566,1756,1820,0.04539795833679144
316,44423134,,,,7.3,7.71,18.41,19.3,4,17.8,2.0,193.4,51.304005811,11.735245830999999,2015-08-12,2015-07-26,2015-08-29,1383,1193,1150,1390,1521,1708,1927,1897,2202,629,31,3080,2483,0.15424399148159415
317,43403140,,,,7.4,7.58,21.8,20.1,10,44.5,2.2,285.4,51.370532467,10.272842993,2015-08-11,2015-07-25,2015-08-28,1464,1352,1354,1651,1577,1948,2222,2106,2450,409,14,2611,1928,0.12110726643598616
318,43543126,,,,7.1,7.28,19.7,19.6,5,33.3,2.2,259.5,51.244053724,10.472584858,2015-08-13,2015-07-27,2015-08-30,5103,4548,4494,4753,5159,5414,5630,5227,5689,2822,64,4441,3784,0.04749498997995992
319,43563124,,,,7.0,7.11,24.4,16.5,2,20.6,2.1,209.1,51.225957224,10.501029922,2015-08-13,2015-07-27,2015-08-30,1615,1508,1168,1140,1193,1329,1403,1507,1449,498,21,1293,817,0.1386475255005667
320,42522920,,,,6.8,6.75,34.5,15.3,2,58.4,1.6,412.9,49.388911969,9.049761141,2015-09-22,2015-09-05,2015-10-09,1580,1376,1429,1726,1955,2288,2525,2380,2726,981,15,3126,2662,0.15927910375060886
321,42622896,,,,7.4,7.73,25.5,14.9,139,33.1,1.4,367.5,49.17415722,9.19103738,2015-09-26,2015-09-09,2015-10-13,3165,3093,2754,2676,2780,3250,3446,3674,3533,1978,101,3000,2313,0.15716535433070866
322,42402876,,,,7.3,7.85,41.1,32.5,37,42.7,2.6,398.0,48.991714523999995,8.893470017,2015-09-16,2015-08-30,2015-10-03,2938,3087,2808,2840,2792,3356,3558,3864,3764,1920,112,3083,2642,0.15274463007159905
323,43283052,,,,6.4,6.44,22.2,43.4,7,43.3,4.5,178.2,50.579764241999996,10.098823456,2015-06-22,2015-06-05,2015-07-09,8050,7807,7706,7992,7803,8118,8386,8031,8427,4358,667,1996,2007,0.002434001123385134
324,43823106,,,,7.5,7.72,22.3,40.7,21,29.5,3.3,746.6,51.061975262,10.870144336,2015-06-15,2015-05-29,2015-07-02,6065,5718,5715,5895,5879,6400,6764,6398,6908,2948,93,4193,3970,0.04091759537948426
325,43683100,,,,7.1,7.24,20.9,19.6,3,51.1,2.3,598.8,51.009369411,10.669671052,2015-06-15,2015-05-29,2015-07-02,8137,7992,7951,8172,8013,8334,8582,8360,8650,4352,346,5017,4364,0.011371884829421728
326,42362968,,,,7.4,7.6,22.4,12.0,46,54.5,1.4,274.5,49.818420761000006,8.818983802,2015-06-26,2015-06-09,2015-07-13,4972,5332,5155,5309,5230,5962,6427,6286,6728,2134,404,4625,3874,0.08426045709357481
327,45223118,,,,4.7,4.85,65.7,35.7,1,36.7,3.4,219.2,51.137601145,12.872663907,2015-06-10,2015-05-24,2015-06-27,4644,4454,4301,4278,4285,4973,5418,5171,5558,2300,140,2328,2281,0.09450735527569055
328,43182942,,,,7.2,7.58,12.9,13.8,7,28.7,1.7,381.9,49.590758281999996,9.95851493,2015-07-02,2015-06-15,2015-07-19,4219,4159,3933,3876,3965,4629,5000,4937,5148,2896,1013,1783,1762,0.12039033246340633
329,42663262,,,,7.0,7.17,78.3,72.1,143,14.0,7.9,288.5,52.464579563,9.190752012999999,2015-08-01,2015-07-15,2015-08-18,560,592,586,597,580,600,619,641,628,359,58,429,370,0.035541195476575124
330,42323068,,,,6.1,6.31,7.85,11.5,2,23.4,1.2,157.6,50.716758293999995,8.739785451,2015-08-20,2015-08-03,2015-09-06,1242,1114,1035,1076,1414,1724,1946,1599,2130,388,10,2856,1962,0.1955140186915888
331,44823406,,,,6.7,6.74,21.7,11.2,1,46.4,1.5,102.8,53.73699706399999,12.439996342999999,2015-08-16,2015-07-30,2015-09-02,1165,1053,998,1215,1330,1522,1698,1748,1987,685,12,2053,1285,0.17988525143435707
332,43443256,,,,6.3,6.59,8.94,8.2,0,55.9,0.8,112.7,52.412926696999996,10.338011564,2015-06-17,2015-05-31,2015-07-04,6511,6242,6007,6130,5936,6451,6943,6394,7153,2200,286,3559,2952,0.021079527307569467
333,43363284,,,,3.6,4.2,9.58,58.7,0,16.6,2.4,64.0,52.66482958,10.221703765,2015-07-03,2015-06-16,2015-07-20,8124,7669,7616,7805,7844,8132,8272,8086,8356,6691,3087,3121,3421,0.017682965200427916
334,44243166,,,,5.8,5.96,15.45,20.6,0,33.7,2.1,209.4,51.59511678,11.486500803,2015-06-30,2015-06-13,2015-07-17,4115,3821,3683,3591,3661,4418,4812,4610,4978,2186,275,1616,1565,0.12425313986099257
