,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
276,46924036,,,,4.0,4.27,32.4,13.1,0,34.8,1.4,101.7,59.271943625,16.502960066,2015-10-28,2015-10-11,2015-11-14,2033,1444,920,643,640,764,833,733,784,286,21,270,143,0.06540697674418605
277,47104042,,,,4.9,5.27,108.2,93.3,0,103.8,7.4,434.7,59.310483303999995,16.827175554,2015-10-28,2015-10-11,2015-11-14,4702,4789,4231,4881,5005,5227,5473,5091,5738,1705,22,4376,3367,0.0210589651022864
278,47024054,,,,6.1,6.39,23.2,20.5,0,56.0,2.5,322.9,59.424708836,16.708430203,2015-10-28,2015-10-11,2015-11-14,5133,4608,3726,4169,4598,4805,5052,4452,5316,1901,35,3902,3001,0.03282681823454356
279,46944048,,,,4.8,5.14,25.1,23.4,0,21.0,2.6,205.5,59.37771347899999,16.558152104,2015-10-27,2015-10-10,2015-11-13,4848,5555,5168,5342,5629,6056,6054,6352,6016,2846,1428,5294,4363,0.08636907815974004
280,46764066,,,,4.6,4.85,51.9,48.3,0,19.0,5.1,149.6,59.553483103999994,16.272638029,2015-10-27,2015-10-10,2015-11-13,4308,4002,4057,3649,3520,3960,4387,4762,4605,2953,855,3596,3667,0.13232671501605042
281,47004058,,,,5.4,5.67,26.6,26.1,0,8.0,2.3,55.3,59.46220090600001,16.680362478,2015-10-28,2015-10-11,2015-11-14,3212,2822,2081,1916,1890,1946,1946,1926,1885,646,22,1255,856,0.0026028110359187923
282,47464006,,,,4.0,5.13,16.16,117.3,0,38.9,8.6,371.3,58.956235043,17.386067534000002,2015-09-27,2015-09-10,2015-10-14,3525,3170,2868,3028,3239,3651,3873,3630,4009,1533,32,3582,3251,0.09041754280564734
283,47204054,,,,5.1,5.5,63.2,275.9,0,15.0,15.5,203.7,59.409086935,17.023369481,2015-10-31,2015-10-14,2015-11-17,6272,6207,5606,6219,6380,6658,6905,6339,7082,2418,26,5096,3897,0.009555661729574774
284,47484016,,,,4.4,5.06,7.16,33.0,0,9.4,2.7,105.9,59.043742688,17.439558559,2015-09-27,2015-09-10,2015-10-14,5338,5491,5127,5546,5679,5908,6000,5931,6061,2517,28,5287,4032,0.03354535157271064
285,47184004,,,,5.7,6.04,32.4,21.9,0,10.9,2.6,140.2,58.963585561,16.899042798,2015-11-02,2015-10-16,2015-11-19,2005,1469,926,664,738,951,1023,944,1033,364,28,418,247,0.17412935323383086
286,45903880,,,,3.9,4.21,52.2,64.7,0,24.8,5.6,128.0,57.944734503999996,14.539032125999999,2015-11-03,2015-10-17,2015-11-20,2037,1500,957,659,699,839,957,926,935,306,22,380,231,0.16845425867507888
287,47164000,,,,3.8,4.18,28.7,42.8,0,18.4,2.8,69.2,58.929538904,16.857501237,2015-11-02,2015-10-16,2015-11-19,7833,8729,8606,11013,11370,12040,12798,11844,13446,4742,37,10485,8210,0.03635647722798267
288,47183990,,,,5.8,6.03,38.2,20.1,0,58.6,2.5,223.6,58.838350537,16.874499841,2015-11-02,2015-10-16,2015-11-19,3133,3170,2523,2598,2825,3058,3204,3515,3294,1023,28,2837,2159,0.15000817929003762
289,47404022,,,,5.4,5.88,16.79,11.0,0,9.1,1.4,162.7,59.104822361000004,17.312382320999998,2015-11-02,2015-10-16,2015-11-19,3387,2483,1977,2078,2093,2334,2623,2084,2877,1236,35,1937,1723,0.0014416146083613647
290,47443984,,,,4.2,4.47,42.4,32.2,0,18.6,2.6,77.2,58.761443668999995,17.310568884000002,2015-10-10,2015-09-23,2015-10-27,2589,2140,1750,1630,1730,1960,2101,1969,2181,849,415,1459,1103,0.09419283134203946
291,45423958,,,,5.7,5.84,21.3,29.7,0,31.6,2.8,164.8,58.669998067,13.803933808,2015-08-09,2015-07-23,2015-08-26,1318,1241,1176,1472,1585,1819,2034,2105,2366,786,11,2067,1274,0.17696393625943527
292,45583946,,,,4.3,4.65,45.3,41.8,0,17.3,4.0,103.5,58.554324818000005,14.066446750999999,2015-07-15,2015-06-28,2015-08-01,3828,3697,3305,3264,3434,3895,4146,4022,4218,2124,171,924,922,0.10403513587702443
293,45283930,,,,4.3,4.44,17.87,15.4,0,34.2,1.8,35.7,58.42505256,13.538369944000001,2015-07-20,2015-07-03,2015-08-06,3304,2638,2411,2402,2743,3447,3835,3195,4071,1321,17,2578,2059,0.14168304448811864
294,45704494,,,,3.3,3.97,5.02,24.0,0,11.4,1.5,47.0,63.470071811000004,14.973194140999999,2015-10-30,2015-10-13,2015-11-16,3152,2926,2292,2230,2253,2298,2398,2426,2423,883,87,1631,1355,0.04209621993127148
295,48964996,,,,4.2,4.72,3.02,10.1,0,18.2,0.5,15.8,67.576736814,23.475730414,2015-07-19,2015-07-02,2015-08-05,6404,6212,5808,6161,6143,6456,6757,6364,6930,2926,709,5274,4031,0.016207584830339322
296,48484912,,,,4.5,4.86,3.02,12.8,1,40.7,0.6,20.1,66.911393549,22.00411786,2015-06-17,2015-05-31,2015-07-04,7316,6707,6663,7046,7081,7424,7627,7065,7778,4036,109,5062,4017,0.001346467295018071
297,48884898,,,,4.1,4.48,9.65,25.5,0,14.3,1.2,27.9,66.722708071,22.829993691,2015-06-28,2015-06-11,2015-07-15,7991,8400,8447,8636,8209,8349,8307,8868,8265,4080,148,4308,2858,0.013254113345521023
298,49064898,,,,4.4,5.08,3.52,5.8,0,12.8,0.5,21.2,66.692297952,23.227119295999998,2015-07-04,2015-06-17,2015-07-21,4772,4813,4570,4577,4565,4874,5012,5072,5098,2156,47,3414,2746,0.05130065291740077
299,48924934,,,,4.2,4.62,3.34,10.9,0,52.0,0.6,30.6,67.034855459,23.085362664,2015-07-05,2015-06-18,2015-07-22,8487,8667,8712,9245,9174,9394,9548,9297,9550,5076,214,5721,4190,0.002804443965052314
300,49184918,,,,4.7,5.32,6.15,8.1,0,65.5,0.7,38.6,66.848307408,23.587410572,2015-07-11,2015-06-24,2015-07-28,5238,5353,5271,5722,6111,6838,7193,7192,7435,3688,72,6111,5214,0.11382995199008827
301,48584940,,,,4.0,4.41,3.4,16.1,0,34.2,0.8,15.1,67.144230768,22.350729536,2015-06-25,2015-06-08,2015-07-12,5358,4955,4622,4606,4485,4751,4896,5032,5244,2568,112,3382,3010,0.044200041502386385
302,46244008,,,,3.3,4.0,15.89,41.1,0,17.7,3.1,37.0,59.071671893,15.277719745999999,2015-08-03,2015-07-17,2015-08-20,5008,4284,4205,4572,4662,5220,5649,4927,5808,2435,134,1858,1660,0.037372354984735234
303,46203982,,,,3.7,4.01,32.7,48.5,0,21.1,3.2,45.2,58.841182918,15.173844055,2015-07-30,2015-07-13,2015-08-16,7165,7115,6642,6983,7113,7404,7595,7475,7637,4949,1169,1970,2106,0.03402960298796514
304,46823954,,,,4.3,4.68,26.6,14.4,0,29.3,1.4,41.8,58.54582717899999,16.197779406,2015-06-17,2015-05-31,2015-07-04,4154,3238,2931,3381,3618,4563,5170,4124,5516,2550,49,3779,4036,0.09900066622251832
305,48445012,,,,4.2,4.78,5.45,26.6,0,30.7,0.9,23.4,67.806060988,22.358855646,2015-07-21,2015-07-04,2015-08-07,5184,4751,4534,4495,4778,5351,5517,5239,5656,3043,66,4417,4078,0.07643312101910828
306,46903948,,,,3.7,4.08,34.6,58.5,0,24.9,4.0,88.6,58.485798868,16.324895797,2015-06-15,2015-05-29,2015-07-02,6918,6341,6388,6947,6681,7315,7915,7543,8058,3794,48,4881,3840,0.04113181504485852
307,46264024,,,,4.7,5.04,27.3,17.5,0,16.8,2.0,68.9,59.213790453,15.334321749,2015-08-14,2015-07-28,2015-08-31,6230,6322,6318,6997,7047,7826,8380,7788,8707,2526,101,6074,4492,0.05350016909029422
308,46384024,,,,6.1,6.38,20.4,12.5,0,25.9,1.5,80.9,59.205543109,15.543373189,2015-08-16,2015-07-30,2015-09-02,3361,3335,3125,3265,3507,4310,4786,4561,5004,1756,27,3808,3607,0.16560184002044467
309,46683954,,,,3.9,4.15,43.0,31.8,0,11.4,2.2,105.9,58.556551656,15.958543475,2015-06-16,2015-05-30,2015-07-03,6612,6365,6245,6459,6400,6782,7056,6643,7236,3142,35,4654,3723,0.014043657456876813
310,45564350,,,,4.6,4.82,33.2,32.2,0,0.0,1.7,26.0,62.184023448999994,14.497045273,2015-11-15,2015-10-29,2015-12-02,3978,3005,2045,1960,2217,2340,2506,2138,2431,821,21,260,221,0.04343582235236701
311,46784742,,,,3.9,4.38,2.29,8.7,0,15.0,0.6,13.2,65.60968177,17.706569274,2015-07-22,2015-07-05,2015-08-08,7124,6932,6459,6844,6940,7185,7368,7065,7370,3940,465,1677,1791,0.015888992738514632
312,47464162,,,,7.0,7.15,56.1,46.4,63,45.8,4.5,333.7,60.350573774,17.694202857,2015-06-22,2015-06-05,2015-07-09,3274,3278,3277,3241,3360,4423,4942,4791,5171,1538,16,3869,3024,0.19297808764940239
313,45823776,,,,3.7,3.8,31.8,81.5,0,34.0,4.6,35.7,57.01624771,14.295078486,2015-06-25,2015-06-08,2015-07-12,6473,6706,6540,6673,6466,6833,7104,6948,7198,2677,144,4700,3601,0.0201894134057705
314,46524726,,,,4.4,4.67,25.1,113.5,0,18.4,7.6,219.2,65.491055648,17.111186269,2015-07-22,2015-07-05,2015-08-08,6009,6128,5573,5771,5752,5959,6071,6100,6119,2975,308,955,1047,0.027714598601634235
315,46824770,,,,3.4,4.15,3.55,22.8,0,9.7,1.1,38.8,65.85675778699999,17.866497315,2015-07-23,2015-07-06,2015-08-09,5104,4862,4441,4530,4626,4916,5061,4844,5141,2434,203,1098,1132,0.03349690633667591
316,46684764,,,,4.4,4.71,6.82,28.1,1,7.3,1.6,52.5,65.816924,17.548529464,2015-07-24,2015-07-07,2015-08-10,4066,3807,3376,3388,3437,3684,3864,3613,3907,1377,69,668,673,0.032138265962005426
317,46924788,,,,4.3,4.74,5.76,18.9,0,11.5,1.2,32.4,66.007774885,18.132316242,2015-07-30,2015-07-13,2015-08-16,4775,4466,4373,4795,4918,5245,5456,5037,5594,2851,53,4528,3702,0.024613506916192025
318,47004782,,,,4.0,4.26,6.58,17.7,0,45.6,1.1,26.0,65.945480429,18.288884486,2015-07-30,2015-07-13,2015-08-16,6599,6244,5987,6562,6773,7145,7438,7002,7663,4125,65,4664,3266,0.03243880861102919
319,46904730,,,,3.7,4.2,3.38,7.3,0,0.0,0.6,12.8,65.4899376,17.931248975,2015-07-17,2015-06-30,2015-08-03,6192,5978,5557,5803,5843,6091,6296,5987,6440,3043,313,1426,1492,0.015606446140797287
320,46684084,,,,4.1,4.29,24.7,19.9,0,11.4,1.7,136.3,59.721002237,16.160967065,2015-10-24,2015-10-07,2015-11-10,2790,2511,2064,1910,2014,2219,2278,2271,2392,1203,506,1470,1165,0.08634298014828988
321,47944544,,,,3.9,4.75,5.17,11.6,0,20.5,0.8,32.8,63.709307965,19.550226462999998,2015-07-16,2015-06-29,2015-08-02,7360,7322,6800,7141,7238,7411,7622,7459,7677,4606,645,3133,3148,0.02178082191780822
322,46864094,,,,3.5,4.14,12.41,69.4,0,29.9,3.7,67.0,59.79614184,16.495905122,2015-10-24,2015-10-07,2015-11-10,4601,4037,3639,3935,4014,4295,4610,4288,4969,3052,1087,3743,3736,0.04292837164052049
323,46884096,,,,5.3,5.55,34.1,17.2,0,23.0,1.9,85.8,59.812399336000006,16.53474423,2015-10-24,2015-10-07,2015-11-10,3469,3074,2769,2832,2934,3213,3389,3279,3567,1698,666,2415,2079,0.07314678448699068
324,46464716,,,,3.4,3.82,9.79,33.2,0,26.0,2.7,85.7,65.40673702699999,16.959849733,2015-07-15,2015-06-28,2015-08-01,6223,6340,5981,6415,6370,6605,6831,6745,6953,2477,68,4221,2783,0.02507598784194529
325,45823804,,,,3.6,4.03,5.68,34.7,0,68.5,1.5,33.8,57.267424871,14.323872804,2015-07-04,2015-06-17,2015-07-21,3476,2780,2701,2910,2979,3523,3786,3328,3883,1283,60,1741,1519,0.06700865662071177
326,46804726,,,,4.8,5.12,3.4,14.1,0,14.0,0.9,28.3,65.46419614199999,17.70782558,2015-07-17,2015-06-30,2015-08-03,6666,6517,6048,6297,6366,6553,6729,6544,6750,3765,523,1563,1666,0.019235262051242114
327,45623826,,,,2.8,3.8,21.9,463.5,0,42.8,15.3,194.7,57.475285147,14.014438097000001,2015-06-13,2015-05-27,2015-06-30,5332,5372,5629,5728,5658,6050,6217,5891,6308,3046,449,2462,2484,0.0140287460194509
328,45723844,,,,3.6,4.03,58.3,58.1,0,26.2,2.7,52.6,57.631644955,14.19891872,2015-06-13,2015-05-27,2015-06-30,5374,5326,5393,5531,5508,5946,6144,6010,6219,2337,91,4317,3428,0.0415042024088034
329,45743828,,,,3.2,3.93,23.8,99.5,0,37.7,4.2,64.2,57.48702882600001,14.215924528,2015-06-14,2015-05-28,2015-07-01,5079,5031,4850,4790,4832,5228,5378,5354,5406,2852,250,1417,1442,0.0555993690851735
330,45963796,,,,3.7,4.22,12.27,51.3,0,8.4,2.9,54.2,57.18787633,14.546499175,2015-07-03,2015-06-16,2015-07-20,3605,2658,2513,2361,2484,3423,3981,3379,4127,1427,32,1790,1572,0.17735191637630662
331,45763802,,,,4.4,4.78,20.2,30.4,0,25.8,2.7,57.2,57.252700156,14.222675477000001,2015-07-04,2015-06-17,2015-07-21,6895,6539,6586,6892,6909,7474,7768,7264,7905,2970,68,4547,3579,0.0262786097767731
