,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
414,35382688,,,,5.4,5.82,8.23,31.5,0,38.9,3.1,85.9,46.815694529,-0.288026538,2015-08-05,2015-07-19,2015-08-22,4035,3987,3692,3886,4014,4347,4605,4613,4679,1846,146,4223,3164,0.08553947523238029
415,35522672,,,,7.0,7.3,31.5,20.1,3,44.7,2.4,384.9,46.690439306,-0.0786806839999,2015-08-07,2015-07-21,2015-08-24,8278,7918,7695,8383,8471,8829,9349,8588,9335,4284,156,5512,4326,0.012079429615225973
416,38162902,,,,7.0,7.04,37.4,12.4,1,59.0,1.7,325.7,49.017585868000005,3.086282737,2015-08-11,2015-07-25,2015-08-28,1470,1506,1660,2237,2461,2825,3209,3104,3608,798,55,3747,2407,0.16232915184422392
417,37902900,,,,7.3,7.5,13.05,8.7,3,31.2,1.3,138.9,48.97720524100001,2.73498952,2015-08-10,2015-07-24,2015-08-27,1718,1654,1717,2090,2292,2770,3118,3011,3484,1013,279,3289,2226,0.1805528327778867
418,37902904,,,,6.8,6.89,23.0,14.6,1,54.7,1.7,232.3,49.01298242,2.729706335,2015-08-10,2015-07-24,2015-08-27,1843,1822,1909,2318,2508,2926,3279,3218,3672,1023,288,3384,2180,0.16257225433526012
419,33742854,,,,5.4,5.78,13.08,19.0,0,19.8,2.5,155.1,48.059994243999995,-2.771160165,2015-10-27,2015-10-10,2015-11-13,4722,4785,4516,4792,5024,5508,5819,5688,5999,2653,168,5317,4809,0.08549618320610687
420,33682834,,,,5.0,5.57,43.7,80.2,0,143.0,7.0,1201.1,47.873801746999995,-2.805553624,2015-10-26,2015-10-09,2015-11-12,5500,5627,5127,5355,5005,5211,5363,5911,5470,2672,40,3926,2928,0.04935203266465471
421,33722838,,,,5.0,5.21,28.8,25.4,0,64.6,2.9,244.1,47.915383927,-2.76169861,2015-10-26,2015-10-09,2015-11-12,5996,5924,5515,5889,6053,6381,6637,6506,6767,3313,50,5339,4165,0.049778136345300525
422,38382866,,,,6.4,6.74,10.27,11.9,0,29.4,1.4,148.2,48.713410726000006,3.42896973,2015-08-05,2015-07-19,2015-08-22,1630,1505,1650,2099,2249,2578,2825,2771,3060,700,16,3681,2711,0.13798767967145792
423,38162866,,,,7.2,7.53,20.7,19.1,55,77.7,2.1,400.2,48.695388965,3.1311818110000003,2015-08-03,2015-07-17,2015-08-20,1663,1631,1790,2396,2643,2974,3355,3190,3820,950,75,4354,2578,0.14214106695309703
424,38282854,,,,5.9,6.26,11.39,21.1,0,46.8,2.1,331.1,48.597879181,3.308045954,2015-08-04,2015-07-18,2015-08-21,4052,4730,4705,5184,5150,5403,5624,5719,5784,1975,72,5430,4182,0.04906906356048794
