,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Fecha,FechaAntes,FechaDespues,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
684,32361874,,,,7.6,8.08,17.36,24.7,284,20.8,1.5,200.6,39.148420242,-2.539221824,2015-07-12,2015-06-25,2015-07-29,1674,1689,2061,3040,3223,3532,3823,3671,4100,1157,16,5226,4193,0.09402473550886604
685,32321874,,,,7.6,8.12,15.31,6.4,457,24.2,1.3,182.4,39.142463478,-2.584780745,2015-07-12,2015-06-25,2015-07-29,1495,1457,1684,2454,2648,2882,3143,3026,3435,978,22,4557,3685,0.10437956204379562
686,32721874,,,,7.6,8.34,12.76,3.7,112,22.6,0.7,208.1,39.201066602,-2.128872009,2015-07-13,2015-06-26,2015-07-30,1910,1698,1889,2460,2756,3415,3766,3348,4058,1189,20,4673,3516,0.15289256198347106
687,32821866,,,,7.6,8.11,13.71,8.9,108,16.2,1.3,308.9,39.14390031,-2.0016403830000002,2015-07-13,2015-06-26,2015-07-30,1807,1782,2088,3013,3183,3568,3848,3728,4247,1182,19,4935,3669,0.10606734905800326
688,32841864,,,,7.7,8.29,13.89,6.5,210,16.4,0.8,173.9,39.128871006,-1.9755676709999999,2015-07-13,2015-06-26,2015-07-30,1617,1535,1728,2504,2683,3029,3284,3162,3544,919,21,4545,3785,0.11613130956583127
689,32821870,,,,7.6,8.29,13.1,9.8,150,22.1,0.8,105.5,39.17964232,-2.008207842,2015-07-13,2015-06-26,2015-07-30,1826,1795,2104,2971,3177,3514,3828,3771,4262,1238,21,4992,3394,0.11865915158706615
690,32641844,,,,7.7,8.26,13.66,6.2,296,26.1,0.8,248.9,38.921537604,-2.170220531,2015-07-15,2015-06-28,2015-08-01,1792,1869,2229,3301,3516,3848,4199,4129,4651,1290,20,5135,3616,0.11144010767160162
691,32341858,,,,7.7,8.13,17.14,30.3,350,21.2,1.6,475.7,39.002648142,-2.534613219,2015-07-12,2015-06-25,2015-07-29,1658,1822,2185,2994,3128,3351,3681,3619,4016,1084,22,4872,3496,0.09451081203689703
692,33042318,,,,4.0,4.66,12.89,89.4,1,12.8,5.2,183.1,43.202892799,-2.544911013,2015-06-26,2015-06-09,2015-07-13,3961,3494,3238,3262,3400,4009,4388,4134,4585,1422,16,3549,2985,0.11790156841535965
693,32742312,,,,4.3,4.79,8.61,44.3,0,9.3,2.8,98.7,43.103916295,-2.897136311,2015-07-07,2015-06-20,2015-07-24,5790,5648,5352,5624,5651,6025,6364,5964,6515,2007,20,4875,3386,0.029340697273041078
694,33102312,,,,3.8,4.17,26.7,25.4,0,5.5,1.6,62.9,43.158569742,-2.460609573,2015-07-08,2015-06-21,2015-07-25,5784,5792,5642,6086,6190,6687,7126,6741,7421,2249,22,5803,4516,0.051064161534263665
695,32902338,,,,4.0,4.47,16.04,56.5,6,8.0,3.5,99.0,43.359286139,-2.7538799519999997,2015-06-25,2015-06-08,2015-07-12,5181,4993,4698,4974,5039,5513,5948,5647,6140,1875,23,4877,3822,0.06336503154128613
696,32522056,,,,7.7,8.12,14.76,9.6,348,11.0,0.8,323.2,40.794646136,-2.675481976,2015-07-28,2015-07-11,2015-08-14,1404,1576,1851,2682,2534,3019,3277,3396,3398,1118,16,3823,2735,0.11747285291214216
