,Longitude,Latitude,Na [mg/kg]
189,-6.3657,38.7029,345.0
190,-5.7501,38.784,69.0
191,-6.9002,38.5506,46.0
192,-6.8335,38.5465,23.0
193,-6.8002,38.634,46.0
194,-6.4835,38.6173,276.0
195,-6.3168,38.584,46.0
196,-6.2835,38.5506,69.0
197,-5.8668,38.584,46.0
198,-5.6501,38.634,46.0
199,-5.5168,38.6173,46.0
200,-6.8169,38.4173,46.0
201,-6.6002,38.434,115.0
202,-6.5169,38.4006,46.0
203,-6.3335,38.4673,46.0
204,-5.8502,38.484,46.0
205,-7.0835,38.234,46.0
206,-7.0002,38.284,92.0
207,-6.7835,38.3173,92.0
208,-6.6896,38.2251,69.0
209,-6.6558,38.194,46.0
210,-6.4835,38.2173,92.0
211,-5.7168,38.284,46.0
212,-6.5669,38.134,46.0
213,-6.5335,38.034,115.0
214,1.8003,42.1841,46.0
215,2.3253,41.8118,207.0
216,2.3892,41.7785,46.0
217,2.3336,41.7674,92.0
218,2.4392,41.7618,46.0
219,1.5169,41.5174,115.0
220,1.4336,41.5007,23.0
221,2.317,41.5007,46.0
222,2.3586,41.5368,46.0
223,2.3586,41.5229,92.0
224,1.553,41.4515,115.0
225,1.6269,41.3515,46.0
226,1.8669,41.4007,115.0
227,1.9305,41.3889,92.0
228,1.9503,41.334,46.0
229,1.9169,41.3007,46.0
230,2.0108,41.3302,23.0
231,1.9528,41.2882,46.0
232,1.9455,41.2696,23.0
233,2.367,41.6841,23.0
234,-3.8167,42.9174,23.0
235,-3.0668,42.1341,23.0
236,-3.0667,42.1341,207.0
237,-3.0167,42.0424,69.0
238,-3.2833,41.9507,46.0
239,-3.0333,41.9841,69.0
240,-3.0167,41.9841,115.0
241,-3.9334,41.7507,69.0
242,-3.8667,41.7507,69.0
243,-3.8,41.7674,115.0
244,-3.7667,41.7341,69.0
245,-3.6834,41.7174,46.0
246,-3.5167,41.7007,69.0
247,-3.5667,41.6341,23.0
248,-3.5167,41.6841,23.0
249,-3.45,43.1174,115.0
250,-3.9667,41.8174,276.0
