,Longitude,Latitude,Silt [%]
189,-7.9611,42.0425,26.2
190,-8.0005,42.2945,62.1
191,-7.3394,41.957,45.5
192,-7.1347,42.1175,56.4
193,-3.2225,43.3058,52.8
194,-3.3589,43.3125,64.2
195,-3.4475,43.1522,37.4
196,-3.4497,43.1483,22.2
197,-3.5839,43.1578,24.8
198,-3.5925,43.1608,48.5
199,-3.6053,43.2031,22.4
200,-3.63,43.2045,33.1
201,-3.6756,43.2239,26.8
202,-3.6906,43.2286,48.5
203,-3.6683,43.2467,25.0
204,-3.6478,43.2981,42.0
205,-3.7706,43.2669,51.5
206,-3.7433,43.2147,38.2
207,-3.7517,43.1178,41.8
208,-3.7528,43.1142,34.4
209,-3.8167,43.1731,41.5
210,-3.8175,43.0803,29.8
211,-3.8544,43.0464,42.4
212,-3.8597,43.042,30.9
213,-3.8894,43.0492,44.2
214,-3.9114,43.035,20.2
215,-3.9786,43.0361,26.6
216,-3.9572,43.0753,36.7
217,-3.9619,43.0895,23.4
218,-3.9731,43.2042,30.2
219,-4.1406,43.2014,31.9
220,-4.1242,43.1197,45.8
221,-4.0458,43.0961,45.9
222,-4.0447,43.0925,41.0
223,-4.0842,43.0767,31.1
224,-4.0617,43.0731,44.1
225,-4.0369,43.045,50.1
226,-4.0661,43.0345,44.8
227,-4.1042,43.0225,39.5
228,-3.8489,42.9236,19.0
229,-3.8867,42.9189,36.5
230,-3.9511,42.8936,38.7
231,-3.9011,42.8045,31.3
232,-3.913,42.7978,12.5
233,-3.9592,42.8114,40.9
234,-3.9961,42.8492,41.0
235,-4.0542,42.8114,18.7
236,-4.0464,42.8792,41.2
237,-4.0372,42.9195,32.0
238,-4.0592,42.9514,23.5
239,-4.1014,42.9347,31.2
240,-4.1255,42.967,15.8
241,-4.1436,42.9489,43.1
242,-4.2136,42.9681,40.2
243,-4.2472,42.9675,45.3
244,-4.2444,42.9728,40.5
245,-4.2292,43.0681,47.2
246,-4.275,43.1047,48.8
247,-4.3719,43.0433,36.8
248,-4.3897,43.07,42.1
249,-4.3286,43.2303,40.7
250,-4.3369,43.1867,52.0
251,-4.4678,43.2422,43.4
252,-4.4658,43.1236,14.4
253,-4.4953,43.1033,37.0
254,-4.5164,43.1336,46.6
255,-4.5422,43.1856,45.7
256,-4.6633,43.0561,47.5
257,-4.7561,43.0828,48.8
258,-4.7533,43.085,41.2
259,-4.7539,43.1022,49.9
260,-4.7864,43.167,35.5
261,-4.7594,43.182,45.3
262,-4.715,43.1508,36.9
263,-4.6589,43.2369,39.9
264,-4.6842,43.2258,39.4
265,-4.678,43.3536,34.3
266,-4.6889,43.3486,10.7
267,-4.7217,43.2961,39.3
268,-4.7258,43.2583,42.9
269,-4.755,43.2367,44.9
270,-4.7594,43.1947,45.5
271,-4.9975,43.4031,19.8
272,-4.9994,43.2889,19.4
273,-4.9872,43.2792,40.8
274,-4.993,43.2608,60.6
275,-4.9986,43.262,41.8
276,-5.013,43.2606,35.2
277,-5.0205,43.2642,47.0
278,-5.0172,43.2861,25.5
279,-5.195,43.4369,9.4
280,-5.2253,43.277,46.4
281,-5.2114,43.2025,51.5
282,-5.1564,43.1942,57.0
283,-5.1283,43.1458,38.3
284,-5.2164,43.1033,45.7
285,-5.2217,43.1106,53.6
286,-5.2914,43.1445,51.4
287,-5.3061,43.1008,53.2
288,-5.3217,43.1111,53.1
289,-5.3861,43.2756,27.3
290,-5.3967,43.2725,45.0
291,-5.368,43.2333,47.3
292,-5.4778,43.2156,42.3
293,-5.4517,43.1889,43.6
294,-5.4372,43.192,55.9
295,-5.4255,43.1967,52.3
296,-5.4781,43.1533,52.3
297,-5.4025,43.0597,55.0
298,-5.4606,43.0736,42.8
299,-5.5189,43.1028,46.2
300,-5.5889,43.0681,45.1
301,-5.525,43.2917,49.5
302,-5.6586,43.2222,57.3
303,-5.643,43.2228,60.4
304,-5.6244,43.1961,55.0
305,-5.6694,43.1325,33.9
306,-5.6903,43.1247,48.3
307,-5.675,43.1272,47.0
308,-5.6883,43.1147,47.8
309,-5.7611,43.01,49.5
310,-5.7658,43.0008,42.2
311,-5.7928,42.9864,38.9
312,-5.8011,42.9861,39.0
313,-5.7783,43.1836,40.6
314,-5.8336,43.2256,48.5
315,-5.9264,43.2392,27.8
316,-5.925,43.185,43.0
317,-5.9053,43.1442,42.8
318,-5.8961,43.1397,46.8
319,-5.9086,43.0611,36.0
320,-5.8925,42.9925,26.6
321,-6.0086,43.0625,44.6
322,-5.9856,43.0911,28.7
323,-5.9772,43.185,54.0
324,-6.0033,43.1639,36.5
325,-6.0728,43.137,39.4
326,-6.0472,43.0967,34.9
327,-6.0408,43.085,47.8
328,-6.1325,43.2378,23.4
329,-6.1078,43.1975,23.5
330,-6.1605,43.1633,48.1
331,-6.0942,43.0589,29.8
332,-6.1169,43.0536,59.6
333,-6.1455,43.0508,39.7
334,-6.2394,43.057,63.3
335,-6.2383,43.0336,41.9
336,-6.3233,43.0617,40.7
337,-6.32,43.0917,22.3
338,-6.3364,43.1431,24.7
339,-6.2911,43.2233,37.4
340,-6.2678,43.28,33.1
341,-6.2825,43.4531,36.1
342,-6.3544,43.3781,67.0
343,-6.3992,43.3717,58.3
344,-6.3742,43.3442,19.8
345,-6.47,43.3303,59.2
346,-6.3722,43.3097,12.6
347,-6.4286,43.2261,32.8
348,-6.4458,43.1781,42.4
349,-6.4658,43.0995,26.3
350,-6.4647,43.0711,33.3
351,-6.4697,43.05,57.5
352,-6.4283,43.07,25.6
353,-6.3772,43.06,33.8
354,-6.4275,42.9939,36.5
355,-6.4864,42.9739,32.8
356,-6.448,42.9461,41.6
357,-6.5264,42.9392,52.5
358,-6.5747,42.982,45.3
359,-6.6189,42.9542,43.1
360,-6.7872,42.9172,46.2
361,-6.743,42.9453,39.1
362,-6.7025,42.9425,48.0
363,-6.7472,43.0222,41.3
364,-6.7225,43.0428,33.0
365,-6.6789,43.0325,37.8
366,-6.6978,43.0125,34.7
367,-6.8869,42.9945,40.5
368,-6.8769,42.9992,54.0
369,-6.8247,43.065,59.3
370,-6.7958,43.1008,33.8
371,-6.6825,43.1614,34.9
372,-6.6742,43.1528,36.6
373,-6.5728,43.1842,63.9
374,-6.5553,43.2142,66.0
375,-6.5844,43.232,63.7
376,-6.6661,43.2631,33.2
377,-6.6758,43.2689,31.1
378,-6.79,43.2017,60.0
379,-6.7694,43.2292,78.5
380,-6.7319,43.2597,70.3
381,-6.6705,43.3086,46.0
382,-6.6458,43.4691,64.5
383,-6.7269,43.332,46.5
384,-6.7569,43.3706,44.9
385,-6.8219,43.4406,20.1
386,-6.8358,43.4364,64.3
387,-6.9519,43.3703,80.5
388,-7.0125,43.347,43.8
389,-7.0267,43.3208,50.5
390,-6.9691,43.275,70.7
391,-6.86,43.2436,75.0
392,-6.9453,43.1347,53.4
393,-6.9547,43.1689,67.1
394,-7.0322,43.2736,77.8
395,-7.6697,43.5136,31.3
396,-7.5197,43.5813,24.0
397,-7.6461,43.5361,17.0
398,-7.4186,43.5947,20.7
399,-7.4953,43.5836,34.5
400,-7.4586,43.593,60.0
401,-7.4342,43.5872,21.0
402,-7.46,43.4466,28.0
403,-7.4053,43.4541,40.7
404,-7.6181,43.4208,7.5
405,-7.6308,43.448,17.0
406,-7.5331,43.5925,18.5
407,-7.5628,43.548,25.0
408,-7.4897,43.4466,25.5
409,-7.5091,43.5183,17.0
410,-7.6908,43.3086,33.8
411,-7.6686,43.4947,28.0
412,-7.5828,43.5538,12.1
413,-7.5836,43.5141,18.5
414,-7.4253,43.4758,33.5
415,-7.635,43.4863,18.5
416,-7.5303,43.4647,17.2
417,-7.5464,43.4338,31.5
418,-7.5386,43.4902,23.0
419,-7.5881,43.4705,17.0
420,-7.5942,43.4619,16.0
421,-7.5539,43.4638,14.5
422,-7.5336,43.5508,9.7
423,-7.4164,43.5911,18.5
424,-7.5389,43.5563,29.0
425,-7.5114,43.5413,82.5
426,-7.4497,43.4627,30.2
427,-7.4461,43.4214,52.0
428,-8.8003,41.9341,22.8
429,-8.6783,42.0759,22.8
430,-8.7022,42.0448,23.0
431,-8.6208,42.5759,17.5
432,-8.7837,43.1647,44.5
433,-8.7337,43.1508,35.7
434,-8.9337,43.2369,42.5
435,-8.1292,41.9014,11.8
436,-8.1503,42.2341,17.8
437,-8.0336,42.4507,25.2
438,-7.3653,43.6147,17.0
439,-6.5203,43.5133,37.9
440,-6.1264,43.4947,16.2
441,-6.1483,43.5333,66.0
442,-7.8403,43.4481,61.7
443,-7.9697,43.4341,62.5
444,-7.9531,43.4174,42.0
445,-8.4198,42.9841,49.0
446,-8.3948,43.3174,32.6
447,-8.3323,43.3841,38.0
448,-8.3387,43.3974,44.0
449,-8.442,42.9508,37.5
