,Longitude,Latitude,K [mg/kg]
188,-3.6756,43.2239,30.0
189,-3.6906,43.2286,108.0
190,-3.6683,43.2467,78.0
191,-3.6478,43.2981,211.0
192,-3.7706,43.2669,111.0
193,-3.7433,43.2147,63.0
194,-3.7517,43.1178,123.0
195,-3.7528,43.1142,124.0
196,-3.8167,43.1731,81.0
197,-3.8175,43.0803,108.0
198,-3.8544,43.0464,176.0
199,-3.8597,43.042,112.0
200,-3.8894,43.0492,54.0
201,-3.9114,43.035,93.0
202,-3.9786,43.0361,83.0
203,-3.9572,43.0753,254.0
204,-3.9619,43.0895,180.0
205,-3.9731,43.2042,105.0
206,-4.1406,43.2014,53.0
207,-4.0458,43.0961,215.0
208,-4.0447,43.0925,164.0
209,-4.0842,43.0767,226.0
210,-4.0617,43.0731,226.0
211,-4.0369,43.045,244.0
212,-4.0661,43.0345,135.0
213,-4.1042,43.0225,500.0
214,-3.8489,42.9236,70.0
215,-3.8867,42.9189,190.0
216,-3.9511,42.8936,171.0
217,-3.9011,42.8045,84.0
218,-3.913,42.7978,79.0
219,-3.9592,42.8114,246.0
220,-3.9961,42.8492,298.0
221,-4.0542,42.8114,118.0
222,-4.0464,42.8792,381.0
223,-4.0372,42.9195,154.0
224,-4.0592,42.9514,75.0
225,-4.1014,42.9347,167.0
226,-4.1255,42.967,123.0
227,-4.1436,42.9489,186.0
228,-4.2136,42.9681,258.0
229,-4.2472,42.9675,192.0
230,-4.2444,42.9728,260.0
231,-4.2292,43.0681,166.0
232,-4.275,43.1047,134.0
233,-4.3719,43.0433,297.0
234,-4.3897,43.07,217.0
235,-4.3286,43.2303,98.0
236,-4.3369,43.1867,59.0
237,-4.4678,43.2422,74.0
238,-4.4658,43.1236,109.0
239,-4.4953,43.1033,478.0
240,-4.5164,43.1336,132.0
241,-4.5422,43.1856,216.0
242,-4.6633,43.0561,117.0
243,-4.7561,43.0828,86.0
244,-4.7533,43.085,269.0
245,-4.7539,43.1022,350.0
246,-4.7864,43.167,212.0
247,-4.7594,43.182,223.0
248,-4.715,43.1508,500.0
249,-4.6589,43.2369,74.0
250,-4.6842,43.2258,80.0
251,-4.678,43.3536,323.0
252,-4.6889,43.3486,68.0
253,-4.7217,43.2961,132.0
254,-4.7258,43.2583,243.0
255,-4.755,43.2367,500.0
256,-4.7594,43.1947,231.0
257,-4.9975,43.4031,87.0
258,-4.9994,43.2889,51.0
259,-4.9872,43.2792,119.0
260,-4.993,43.2608,263.0
261,-4.9986,43.262,457.0
262,-5.013,43.2606,67.0
263,-5.0205,43.2642,116.0
264,-5.0172,43.2861,170.0
265,-5.195,43.4369,93.0
266,-5.2253,43.277,218.0
267,-5.2114,43.2025,329.0
268,-5.1564,43.1942,100.0
269,-5.1283,43.1458,235.0
270,-5.2164,43.1033,142.0
271,-5.2217,43.1106,213.0
272,-5.2914,43.1445,141.0
273,-5.3061,43.1008,96.0
274,-5.3217,43.1111,103.0
275,-5.3861,43.2756,155.0
276,-5.3967,43.2725,129.0
277,-5.368,43.2333,300.0
278,-5.4778,43.2156,190.0
279,-5.4517,43.1889,190.0
280,-5.4372,43.192,66.0
281,-5.4255,43.1967,237.0
282,-5.4781,43.1533,237.0
283,-5.4025,43.0597,115.0
284,-5.4606,43.0736,178.0
285,-5.5189,43.1028,195.0
286,-5.5889,43.0681,121.0
287,-5.525,43.2917,367.0
288,-5.6586,43.2222,165.0
289,-5.643,43.2228,120.0
290,-5.6244,43.1961,142.0
291,-5.6694,43.1325,52.0
292,-5.6903,43.1247,238.0
293,-5.675,43.1272,329.0
294,-5.6883,43.1147,185.0
295,-5.7611,43.01,154.0
296,-5.7658,43.0008,271.0
297,-5.7928,42.9864,158.0
298,-5.8011,42.9861,376.0
299,-5.7783,43.1836,165.0
300,-5.8336,43.2256,139.0
301,-5.9264,43.2392,154.0
302,-5.925,43.185,158.0
303,-5.9053,43.1442,490.0
304,-5.8961,43.1397,227.0
305,-5.9086,43.0611,237.0
306,-5.8925,42.9925,112.0
307,-6.0086,43.0625,199.0
308,-5.9856,43.0911,124.0
309,-5.9772,43.185,313.0
310,-6.0033,43.1639,488.0
311,-6.0728,43.137,327.0
312,-6.0472,43.0967,174.0
313,-6.0408,43.085,223.0
314,-6.1325,43.2378,263.0
315,-6.1078,43.1975,484.0
316,-6.1605,43.1633,262.0
317,-6.0942,43.0589,218.0
318,-6.1169,43.0536,242.0
319,-6.1455,43.0508,175.0
320,-6.2394,43.057,251.0
321,-6.2383,43.0336,187.0
322,-6.3233,43.0617,201.0
323,-6.32,43.0917,83.0
324,-6.3364,43.1431,246.0
325,-6.2911,43.2233,260.0
326,-6.253,43.2278,373.0
327,-6.2678,43.28,120.0
328,-6.2825,43.4531,70.0
329,-6.3544,43.3781,83.0
330,-6.3992,43.3717,52.0
331,-6.3742,43.3442,43.0
332,-6.47,43.3303,134.0
333,-6.3722,43.3097,168.0
334,-6.4286,43.2261,215.0
335,-6.4458,43.1781,201.0
336,-6.4658,43.0995,39.0
337,-6.4647,43.0711,98.0
338,-6.4697,43.05,159.0
339,-6.4283,43.07,31.0
340,-6.3772,43.06,102.0
341,-6.4275,42.9939,53.0
342,-6.4864,42.9739,183.0
343,-6.448,42.9461,163.0
344,-6.5264,42.9392,166.0
345,-6.5747,42.982,328.0
346,-6.6189,42.9542,130.0
