,Longitude,Latitude,Litho [%] (Coarse material)
188,-7.9611,42.0425,6.2
189,-8.0005,42.2945,18.12
190,-7.3394,41.957,15.5
191,-7.1347,42.1175,24.28
192,-3.2225,43.3058,0.18
193,-3.3589,43.3125,3.18
194,-3.4475,43.1522,32.49
195,-3.4497,43.1483,0.01
196,-3.5839,43.1578,6.12
197,-3.5925,43.1608,1.96
198,-3.6053,43.2031,2.14
199,-3.63,43.2045,67.0
200,-3.6756,43.2239,3.17
201,-3.6906,43.2286,0.11
202,-3.6683,43.2467,2.4
203,-3.6478,43.2981,0.38
204,-3.7706,43.2669,25.18
205,-3.7433,43.2147,52.77
206,-3.7517,43.1178,63.92
207,-3.7528,43.1142,27.63
208,-3.8167,43.1731,0.49
209,-3.8175,43.0803,0.13
210,-3.8544,43.0464,56.76
211,-3.8597,43.042,2.3
212,-3.8894,43.0492,0.33
213,-3.9114,43.035,0.01
214,-3.9786,43.0361,13.1
215,-3.9572,43.0753,0.37
216,-3.9619,43.0895,53.04
217,-3.9731,43.2042,11.11
218,-4.1406,43.2014,6.0
219,-4.1242,43.1197,0.01
220,-4.0458,43.0961,5.84
221,-4.0447,43.0925,2.61
222,-4.0842,43.0767,0.96
223,-4.0617,43.0731,58.07
224,-4.0369,43.045,0.39
225,-4.0661,43.0345,5.77
226,-4.1042,43.0225,1.09
227,-3.8489,42.9236,13.77
228,-3.8867,42.9189,19.1
229,-3.9511,42.8936,6.44
230,-3.9011,42.8045,14.14
231,-3.913,42.7978,10.81
232,-3.9592,42.8114,0.4
233,-3.9961,42.8492,11.91
234,-4.0542,42.8114,7.71
235,-4.0464,42.8792,0.79
236,-4.0372,42.9195,25.93
237,-4.0592,42.9514,17.5
238,-4.1014,42.9347,29.56
239,-4.1255,42.967,1.4
240,-4.1436,42.9489,3.43
241,-4.2136,42.9681,10.49
242,-4.2472,42.9675,10.14
243,-4.2444,42.9728,28.1
244,-4.2292,43.0681,9.74
245,-4.275,43.1047,1.92
246,-4.3719,43.0433,63.31
247,-4.3897,43.07,10.95
248,-4.3286,43.2303,21.14
249,-4.3369,43.1867,0.67
250,-4.4678,43.2422,1.67
251,-4.4658,43.1236,32.69
252,-4.4953,43.1033,36.83
253,-4.5164,43.1336,31.01
254,-4.5422,43.1856,36.33
255,-4.6633,43.0561,52.07
256,-4.7561,43.0828,16.6
257,-4.7533,43.085,33.61
258,-4.7539,43.1022,35.75
259,-4.7864,43.167,13.22
260,-4.7594,43.182,0.1
261,-4.715,43.1508,35.85
262,-4.6589,43.2369,6.19
263,-4.6842,43.2258,63.77
264,-4.678,43.3536,0.42
265,-4.6889,43.3486,56.66
266,-4.7217,43.2961,21.65
267,-4.7258,43.2583,71.11
268,-4.755,43.2367,1.2
269,-4.7594,43.1947,1.95
270,-4.9975,43.4031,41.88
271,-4.9994,43.2889,2.38
272,-4.9872,43.2792,7.91
273,-4.993,43.2608,0.25
274,-4.9986,43.262,4.26
275,-5.013,43.2606,16.78
276,-5.0205,43.2642,7.92
277,-5.0172,43.2861,2.72
278,-5.195,43.4369,2.79
279,-5.2253,43.277,1.56
280,-5.2114,43.2025,10.93
281,-5.1564,43.1942,3.29
282,-5.1283,43.1458,18.08
283,-5.2164,43.1033,45.82
284,-5.2217,43.1106,41.29
285,-5.2914,43.1445,42.46
286,-5.3061,43.1008,23.67
287,-5.3217,43.1111,5.3
288,-5.3861,43.2756,13.14
289,-5.3967,43.2725,21.9
290,-5.368,43.2333,55.53
291,-5.4778,43.2156,26.16
292,-5.4517,43.1889,10.31
293,-5.4372,43.192,7.7
294,-5.4255,43.1967,7.75
295,-5.4781,43.1533,7.75
296,-5.4025,43.0597,6.4
297,-5.4606,43.0736,76.0
298,-5.5189,43.1028,30.22
299,-5.5889,43.0681,33.82
300,-5.525,43.2917,5.59
301,-5.6586,43.2222,34.31
302,-5.643,43.2228,47.15
303,-5.6244,43.1961,6.63
304,-5.6694,43.1325,21.61
305,-5.6903,43.1247,73.38
306,-5.675,43.1272,51.11
307,-5.6883,43.1147,32.88
308,-5.7611,43.01,39.4
309,-5.7658,43.0008,30.35
310,-5.7928,42.9864,58.07
311,-5.8011,42.9861,30.05
312,-5.7783,43.1836,28.84
313,-5.8336,43.2256,27.79
314,-5.9264,43.2392,2.15
315,-5.925,43.185,1.32
316,-5.9053,43.1442,17.18
317,-5.8961,43.1397,40.18
318,-5.9086,43.0611,22.03
319,-5.8925,42.9925,3.36
320,-6.0086,43.0625,34.14
321,-5.9856,43.0911,27.23
322,-5.9772,43.185,22.07
323,-6.0033,43.1639,43.83
324,-6.0728,43.137,18.63
325,-6.0472,43.0967,14.82
326,-6.0408,43.085,14.44
327,-6.1325,43.2378,52.38
328,-6.1078,43.1975,22.44
329,-6.1605,43.1633,14.56
330,-6.0942,43.0589,37.28
