,Longitude,Latitude,Clay min [%]
189,-7.9611,42.0425,4.6
190,-8.0005,42.2945,18.4
191,-7.3394,41.957,20.4
192,-7.1347,42.1175,11.6
193,-3.2225,43.3058,29.5
194,-3.3589,43.3125,16.5
195,-3.4475,43.1522,14.9
196,-3.4497,43.1483,13.3
197,-3.5839,43.1578,11.0
198,-3.5925,43.1608,34.3
199,-3.6053,43.2031,4.8
200,-3.63,43.2045,5.3
201,-3.6756,43.2239,3.4
202,-3.6906,43.2286,11.2
203,-3.6683,43.2467,20.2
204,-3.6478,43.2981,23.0
205,-3.7706,43.2669,18.3
206,-3.7433,43.2147,12.3
207,-3.7517,43.1178,19.8
208,-3.7528,43.1142,9.8
209,-3.8167,43.1731,17.5
210,-3.8175,43.0803,12.2
211,-3.8544,43.0464,26.6
212,-3.8597,43.042,17.8
213,-3.8894,43.0492,26.0
214,-3.9114,43.035,16.8
215,-3.9786,43.0361,22.2
216,-3.9572,43.0753,18.7
217,-3.9619,43.0895,8.2
218,-3.9731,43.2042,12.8
219,-4.1406,43.2014,13.1
220,-4.1242,43.1197,14.3
221,-4.0458,43.0961,23.1
222,-4.0447,43.0925,23.5
223,-4.0842,43.0767,35.5
224,-4.0617,43.0731,33.0
225,-4.0369,43.045,45.5
226,-4.0661,43.0345,38.8
227,-4.1042,43.0225,54.2
228,-3.8489,42.9236,9.8
229,-3.8867,42.9189,22.6
230,-3.9511,42.8936,22.5
231,-3.9011,42.8045,16.0
232,-3.913,42.7978,4.8
233,-3.9592,42.8114,27.6
234,-3.9961,42.8492,19.6
235,-4.0542,42.8114,10.8
236,-4.0464,42.8792,27.8
237,-4.0372,42.9195,12.8
238,-4.0592,42.9514,12.3
239,-4.1014,42.9347,19.5
240,-4.1255,42.967,18.0
241,-4.1436,42.9489,43.7
242,-4.2136,42.9681,18.6
243,-4.2472,42.9675,17.5
244,-4.2444,42.9728,15.3
245,-4.2292,43.0681,18.0
246,-4.275,43.1047,21.4
247,-4.3719,43.0433,19.5
248,-4.3897,43.07,26.7
249,-4.3286,43.2303,25.5
250,-4.3369,43.1867,22.5
251,-4.4678,43.2422,15.6
252,-4.4658,43.1236,7.8
253,-4.4953,43.1033,23.2
254,-4.5164,43.1336,23.7
255,-4.5422,43.1856,25.8
256,-4.6633,43.0561,24.5
257,-4.7561,43.0828,31.2
258,-4.7533,43.085,21.3
259,-4.7539,43.1022,23.6
260,-4.7864,43.167,38.5
261,-4.7594,43.182,35.7
262,-4.715,43.1508,37.3
263,-4.6589,43.2369,16.3
264,-4.6842,43.2258,14.6
265,-4.678,43.3536,18.6
266,-4.6889,43.3486,6.6
267,-4.7217,43.2961,29.0
268,-4.7258,43.2583,23.2
269,-4.755,43.2367,36.5
270,-4.7594,43.1947,44.0
271,-4.9975,43.4031,6.5
272,-4.9994,43.2889,11.2
273,-4.9872,43.2792,33.0
274,-4.993,43.2608,19.2
275,-4.9986,43.262,33.7
276,-5.013,43.2606,11.5
277,-5.0205,43.2642,31.5
278,-5.0172,43.2861,21.0
279,-5.195,43.4369,8.0
280,-5.2253,43.277,36.5
281,-5.2114,43.2025,37.7
282,-5.1564,43.1942,23.8
283,-5.1283,43.1458,55.7
284,-5.2164,43.1033,35.2
285,-5.2217,43.1106,24.0
286,-5.2914,43.1445,28.8
287,-5.3061,43.1008,28.5
288,-5.3217,43.1111,31.2
289,-5.3861,43.2756,23.0
290,-5.3967,43.2725,24.3
291,-5.368,43.2333,13.2
292,-5.4778,43.2156,25.1
293,-5.4517,43.1889,25.4
294,-5.4372,43.192,20.6
295,-5.4255,43.1967,19.8
296,-5.4781,43.1533,19.8
297,-5.4025,43.0597,28.5
298,-5.4606,43.0736,26.2
299,-5.5189,43.1028,38.9
300,-5.5889,43.0681,27.1
301,-5.525,43.2917,26.5
302,-5.6586,43.2222,25.0
303,-5.643,43.2228,9.6
304,-5.6244,43.1961,26.3
305,-5.6694,43.1325,19.8
306,-5.6903,43.1247,30.4
307,-5.675,43.1272,21.3
308,-5.6883,43.1147,28.4
309,-5.7611,43.01,39.3
310,-5.7658,43.0008,21.1
311,-5.7928,42.9864,18.5
312,-5.8011,42.9861,15.0
313,-5.7783,43.1836,23.4
314,-5.8336,43.2256,28.7
315,-5.9264,43.2392,41.0
316,-5.925,43.185,32.6
317,-5.9053,43.1442,37.2
318,-5.8961,43.1397,25.2
319,-5.9086,43.0611,24.9
320,-5.8925,42.9925,31.6
321,-6.0086,43.0625,31.7
322,-5.9856,43.0911,14.3
323,-5.9772,43.185,27.8
324,-6.0033,43.1639,6.3
325,-6.0728,43.137,19.8
326,-6.0472,43.0967,25.9
327,-6.0408,43.085,39.2
328,-6.1325,43.2378,18.7
329,-6.1078,43.1975,48.8
330,-6.1605,43.1633,31.4
331,-6.0942,43.0589,18.0
332,-6.1169,43.0536,27.2
333,-6.1455,43.0508,12.3
334,-6.2394,43.057,24.9
335,-6.2383,43.0336,39.6
336,-6.3233,43.0617,33.5
337,-6.32,43.0917,4.3
338,-6.3364,43.1431,33.6
339,-6.2911,43.2233,33.0
340,-6.2678,43.28,25.3
341,-6.2825,43.4531,11.7
342,-6.3544,43.3781,8.5
343,-6.3992,43.3717,21.0
344,-6.3742,43.3442,11.4
345,-6.47,43.3303,5.4
346,-6.3722,43.3097,11.3
347,-6.4286,43.2261,8.4
348,-6.4458,43.1781,26.8
349,-6.4658,43.0995,23.1
350,-6.4647,43.0711,14.5
351,-6.4697,43.05,6.0
352,-6.4283,43.07,18.3
353,-6.3772,43.06,12.5
354,-6.4275,42.9939,19.7
355,-6.4864,42.9739,26.9
356,-6.448,42.9461,10.2
357,-6.5264,42.9392,4.3
358,-6.5747,42.982,13.0
359,-6.6189,42.9542,8.5
360,-6.7872,42.9172,12.4
361,-6.743,42.9453,22.1
362,-6.7025,42.9425,9.8
363,-6.7472,43.0222,6.5
364,-6.7225,43.0428,6.5
365,-6.6789,43.0325,22.9
366,-6.6978,43.0125,17.5
367,-6.8869,42.9945,3.8
368,-6.8769,42.9992,7.0
369,-6.8247,43.065,6.5
370,-6.7958,43.1008,15.9
371,-6.6825,43.1614,4.6
372,-6.6742,43.1528,12.6
373,-6.5728,43.1842,8.6
374,-6.5553,43.2142,9.0
375,-6.5844,43.232,14.3
376,-6.6661,43.2631,5.0
377,-6.6758,43.2689,3.4
378,-6.79,43.2017,20.0
379,-6.7694,43.2292,7.5
380,-6.7319,43.2597,11.5
381,-6.6705,43.3086,7.0
382,-6.6458,43.4691,18.1
383,-6.7269,43.332,10.7
384,-6.7569,43.3706,9.6
385,-6.8219,43.4406,14.3
386,-6.8358,43.4364,8.0
387,-6.9519,43.3703,7.0
388,-7.0125,43.347,24.5
389,-7.0267,43.3208,8.0
390,-6.9691,43.275,11.3
391,-6.86,43.2436,5.5
392,-6.9453,43.1347,12.1
393,-6.9547,43.1689,10.5
394,-7.0322,43.2736,6.0
395,-7.6697,43.5136,18.2
396,-7.5197,43.5813,5.0
397,-7.6461,43.5361,9.5
398,-7.4186,43.5947,2.3
399,-7.4953,43.5836,4.5
400,-7.4586,43.593,0.5
401,-7.4342,43.5872,10.5
402,-7.46,43.4466,3.0
403,-7.4053,43.4541,1.5
404,-7.6181,43.4208,17.5
405,-7.6308,43.448,16.5
406,-7.5331,43.5925,4.5
407,-7.5628,43.548,11.0
408,-7.4897,43.4466,5.0
409,-7.5091,43.5183,23.5
410,-7.6908,43.3086,5.5
411,-7.6686,43.4947,7.5
412,-7.5828,43.5538,11.4
413,-7.5836,43.5141,14.5
414,-7.4253,43.4758,3.0
415,-7.635,43.4863,5.2
416,-7.5303,43.4647,3.3
417,-7.5464,43.4338,3.0
418,-7.5386,43.4902,13.0
419,-7.5881,43.4705,1.5
420,-7.5942,43.4619,1.0
421,-7.5539,43.4638,3.0
422,-7.5336,43.5508,13.0
423,-7.4164,43.5911,12.0
424,-7.5389,43.5563,3.5
425,-7.5114,43.5413,12.5
426,-7.4497,43.4627,4.8
427,-7.4461,43.4214,6.0
428,-8.8003,41.9341,11.0
429,-8.6783,42.0759,7.3
430,-8.7022,42.0448,7.5
431,-8.6208,42.5759,9.0
432,-8.7837,43.1647,6.5
433,-8.7337,43.1508,10.2
434,-8.9337,43.2369,12.0
435,-8.1292,41.9014,12.5
436,-8.1503,42.2341,8.7
437,-8.0336,42.4507,16.7
438,-7.3653,43.6147,12.5
439,-6.5203,43.5133,12.5
440,-6.1264,43.4947,18.3
441,-6.1483,43.5333,24.0
442,-7.8403,43.4481,5.9
443,-7.9697,43.4341,16.5
444,-7.9531,43.4174,13.0
445,-8.4198,42.9841,8.0
446,-8.3948,43.3174,18.2
447,-8.3323,43.3841,12.5
448,-8.3387,43.3974,14.5
449,-8.442,42.9508,10.0
450,-8.9698,43.0341,9.0
451,-8.342,43.3008,12.0
452,-2.2333,43.1008,34.7
453,-2.4694,43.2036,32.0
454,-1.9277,43.3174,28.0
455,-2.3286,42.937,13.6
456,-7.695,43.5247,3.0
457,-7.0502,43.0897,10.0
458,-7.3252,42.4507,16.0
459,-7.5503,43.2508,17.0
460,-7.2503,42.9758,12.0
461,-6.9002,42.8008,3.0
462,-7.4875,42.6781,12.0
463,-7.3503,42.9258,11.5
464,-7.1363,42.8841,23.5
465,-7.303,42.6674,5.5
466,-0.7499,42.4563,21.1
467,-0.7415,42.4535,22.4
468,0.0085,42.573,13.2
469,0.1585,42.5702,39.7
470,0.1891,42.5591,19.0
471,0.1919,42.4369,28.1
472,0.9836,42.323,20.0
473,1.3419,42.3035,22.2
474,1.7503,42.0369,15.2
475,1.2641,41.9868,20.2
476,1.4641,42.023,21.4
477,1.403,42.0535,12.9
478,1.4808,42.0896,17.4
479,1.4975,42.0424,15.0
480,1.3891,42.0063,13.8
481,1.3419,41.9521,14.7
482,1.6753,41.973,14.2
483,1.6503,41.8702,17.3
484,1.6919,41.8591,16.8
485,1.8892,42.0035,19.9
486,1.7058,42.0063,20.1
487,1.581,41.9652,16.4
488,1.6753,41.9535,16.5
489,1.9808,42.0063,12.2
490,1.9753,42.0563,14.3
491,2.1336,41.8896,20.5
492,2.067,41.8063,17.5
493,0.9641,41.3702,8.9
494,0.903,41.3229,20.4
495,0.3002,40.8368,18.2
496,0.3335,40.7735,20.4
497,0.3252,40.6824,10.5
498,0.2224,40.7896,18.0
499,-0.6276,40.6396,49.0
500,-0.6499,40.6229,35.3
501,-0.5249,40.2757,26.0
502,-0.6749,40.3062,13.1
503,-0.7026,40.3229,22.5
504,-1.0193,40.4063,21.2
505,-1.3527,40.3396,24.5
506,-1.3582,40.3201,37.9
507,-0.8943,40.0229,5.1
508,-1.0138,40.0368,31.7
509,-0.986,40.0396,28.9
510,-1.1832,40.1285,17.0
511,-1.2027,40.1785,49.1
512,-1.386,40.2618,32.5
513,-1.3444,40.1896,28.6
514,2.017,41.3341,32.0
515,-1.5039,43.2488,35.1
516,-1.5394,43.156,44.3
517,-1.6667,43.1463,20.3
518,-1.6695,43.1745,24.5
519,-1.6689,43.1806,33.4
520,-1.7787,43.0082,23.9
521,-2.004,43.0623,35.1
522,-1.902,43.2031,21.8
523,-1.902,43.2053,22.1
524,-1.8578,43.167,18.7
525,-1.682,43.2442,21.2
526,-1.7208,43.262,30.1
527,-1.6833,43.2531,27.6
528,-1.6608,43.2933,32.6
529,-1.6522,43.2597,31.6
530,2.8203,42.216,26.3
531,2.742,42.1396,30.8
532,3.0003,42.1202,15.2
533,2.9962,42.0574,14.0
534,3.174,41.8827,9.5
535,2.1684,41.9174,20.7
536,2.0114,41.9118,17.3
537,1.7475,41.6841,14.7
538,2.0892,41.6257,19.5
539,2.035,41.6049,22.3
540,2.1636,41.7007,17.8
541,2.1892,41.6424,20.4
542,2.2072,41.6035,15.0
543,1.5058,41.4729,18.6
544,1.5669,41.4882,4.9
545,1.4919,41.4479,29.1
546,1.8753,41.3313,23.0
547,1.9031,41.3146,19.4
548,1.8775,41.3299,17.0
549,1.4016,41.4563,24.2
550,1.3975,41.4646,29.8
551,1.3786,41.4224,36.8
552,0.7766,41.009,24.0
553,0.7724,41.009,15.3
554,-0.861,41.9938,36.6
555,-0.8527,41.9841,28.2
556,-1.0544,41.3398,6.2
557,-0.8999,41.4604,27.8
558,-0.0665,41.3591,37.0
559,-0.0693,41.3424,23.2
560,-0.5249,41.7674,35.8
561,-0.5443,41.7757,26.8
562,-0.3776,41.7007,34.0
563,-0.3971,41.7174,22.3
564,0.853,41.4702,33.5
565,0.8502,41.4646,28.9
566,0.8808,41.4535,27.8
567,-0.4193,41.1202,19.9
568,-0.3499,41.009,21.5
569,-0.1748,40.9229,25.1
570,0.1002,40.8507,22.6
571,0.0863,40.8646,22.1
572,-0.0248,40.8007,18.9
573,-0.0526,40.7952,18.1
574,-0.0776,40.784,16.8
575,-0.911,42.1341,15.9
576,-0.9319,42.2559,19.3
577,2.1855,42.3009,18.9
578,2.0692,42.2599,27.3
579,2.1142,42.2994,30.7
580,2.1281,42.298,24.0
581,2.1281,42.2835,29.0
582,2.1781,41.9118,17.3
583,2.1809,41.9118,19.9
584,2.2114,41.9618,17.7
585,2.3289,41.8993,12.0
586,2.4198,41.951,12.4
587,2.417,41.9355,12.5
588,2.4031,41.9591,19.2
589,2.0086,42.2341,36.5
590,2.0156,42.2327,27.8
