,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,B1dx,B2dx,B3dx,B4dx,B5dx,B6dx,B7dx,B8dx,B9dx,B10dx,B11dx,B12dx,B1dx2,B2dx2,B3dx2,B4dx2,B5dx2,B6dx2,B7dx2,B8dx2,B9dx2,B10dx2,B11dx2,OM [%]
0,42.8174,-2.55,0.16896260894011808,1250.0,1254.0,1273.0,1478.0,1622.0,1910.0,2081.0,2079.0,2233.0,1064.0,19.0,2783.0,2327.0,80482897.38430579,281899109.79228497,1956106870.229009,3645569620.2531643,7912087912.0878935,4042553191.489362,-40000000.000000045,4827586206.896558,-14539800995.024874,-2439309056.9561152,11507077435.47045,-774588075.4204179,4052640088691732.0,2.483987775128671e+16,1.6120827767406074e+16,1.0801312131227162e+17,-1.0630589891754182e+17,-9.65142598460842e+16,9.735172413793126e+16,-6.071281254520832e+17,1.5050363107050694e+17,3.2554590318456028e+16,-5.113099713110273e+16,1.8
1,43.2764,-2.0256,0.036946564885496185,2179.0,1743.0,1467.0,1577.0,2171.0,2217.0,2312.0,1698.0,2209.0,957.0,12.0,1791.0,1227.0,-8772635814.889332,-4094955489.6142445,1049618320.6106877,15037974683.544302,1263736263.7362607,2245862884.1607566,-12280000000.000013,16018808777.429487,-15572139303.482586,-2205882352.941176,7406328059.950047,-958043145.9147274,9.411831640392525e+16,7.632898828226904e+16,1.3347668285242008e+17,-3.48714896704001e+17,2.698150056111246e+16,-3.4340101380994726e+17,5.6597617554859066e+17,-9.903118520662103e+17,1.662469769967837e+17,2.2437465949792764e+16,-3.4822527917838384e+16,5.88
2,43.1697,-2.3242,0.03577882182869534,1410.0,1449.0,1335.0,1334.0,1534.0,1764.0,1737.0,1433.0,1826.0,664.0,9.0,1530.0,1440.0,784708249.4969815,-1691394658.7537096,-9541984.732824434,5063291139.240506,6318681318.681303,-638297872.3404255,-6080000000.000007,12319749216.300955,-14452736318.407959,-1528944911.297852,6332223147.37719,-152879225.4119246,-4.9820984069430376e+16,2.495330376885587e+16,4.84048962211196e+16,3.1782029859260676e+16,-1.9112580195114592e+17,-1.2864544037020286e+17,3.6799498432601965e+17,-8.392628694266127e+17,1.607436742177874e+17,1.8350065496440336e+16,-2.6998760919188668e+16,6.86
3,36.566,-5.2752,0.1111111111111111,1195.0,817.0,520.0,336.0,344.0,419.0,460.0,420.0,486.0,243.0,5.0,213.0,89.0,-7605633802.816897,-4406528189.91098,-1755725190.8396957,202531645.56962025,2060439560.4395554,969267139.4799054,-800000000.0000008,2068965517.241382,-3022388059.7014923,-555555555.5555555,865945045.7951713,-210633599.45642942,6.43683221912659e+16,3.932942135120601e+16,1.868565683596677e+16,4.703564341442873e+16,-2.9977264312078224e+16,-4.182664632340203e+16,5.737931034482771e+16,-1.5960356040573293e+17,3.0681996320223096e+16,3318162001285542.0,-4482009347425485.0,4.54
4,43.3342,-5.3128,0.10857142857142857,1012.0,682.0,397.0,234.0,276.0,428.0,495.0,291.0,474.0,185.0,7.0,246.0,122.0,-6639839034.205228,-4228486646.884274,-1555343511.4503827,1063291139.2405063,4175824175.824166,1583924349.8817966,-4080000000.0000043,5736677115.987468,-3594527363.184079,-415499533.14659184,995004163.1973362,-210633599.45642942,4.851815668653828e+16,3.966087738032481e+16,2.4986971857737504e+16,7.879830472363694e+16,-7.1206039174240744e+16,-1.338989208009882e+17,1.9633354231974966e+17,-2.925142469959736e+17,3.954014713976974e+16,3292492288384518.5,-5019307921123091.0,6.26
5,43.7008,-7.6636,0.041189222669557136,5355.0,4905.0,4490.0,4644.0,4704.0,5034.0,5259.0,5043.0,5409.0,2339.0,33.0,3189.0,2031.0,-9054325955.734402,-6157270029.673593,1469465648.8549628,1518987341.7721517,9065934065.934044,5319148936.170213,-4320000000.000005,11473354231.974936,-38184079601.99004,-5382819794.584499,13139050791.007504,-1967046033.6334298,5.829086370343677e+16,1.1315631570517147e+17,472535237759436.2,1.9106194238384534e+17,-1.0293365741109402e+17,-2.2787586137518243e+17,3.158670846394992e+17,-1.5566593678358948e+18,4.079758682513127e+17,4.3234992029859944e+16,-6.2889662050961464e+16,10.72
6,43.63,-7.9478,0.0417022487902078,6616.0,6557.0,6293.0,6733.0,6860.0,7337.0,7680.0,7319.0,7890.0,3089.0,30.0,5334.0,3435.0,-1187122736.4185104,-3916913946.5875382,4198473282.442751,3215189873.4177213,13104395604.395573,8108747044.917257,-7220000000.000008,17899686520.376198,-59713930348.258705,-7140522875.816992,22081598667.776867,-3225751656.191609,-5.492537646215345e+16,1.2040633870964824e+17,-9382475276956396.0,2.5035963875893293e+17,-1.3724309229335998e+17,-3.623817268301954e+17,5.023937304075247e+17,-2.4330287419634796e+18,6.53898102891066e+17,6.821223516245063e+16,-1.0535949343866982e+17,15.09
7,43.5681,-8.1842,0.03849493487698987,7031.0,6652.0,6215.0,6644.0,6831.0,7158.0,7404.0,7176.0,7530.0,4021.0,149.0,5262.0,3863.0,-7625754527.162973,-6483679525.222553,4093511450.381682,4734177215.189873,8983516483.516462,5815602836.879433,-4560000000.000005,11097178683.385593,-43644278606.96517,-9038281979.458448,21286427976.68611,-2376422626.125361,2.2979376296587916e+16,1.5693161684872755e+17,6113222946643046.0,1.0757820932472378e+17,-8.703059468783027e+16,-2.4528611907516397e+17,3.131435736677123e+17,-1.7160331438981453e+18,4.304228436257055e+17,7.078597095271838e+16,-9.851311658123018e+16,8.6
8,43.4031,-4.9975,0.03001721685754922,6532.0,6485.0,6118.0,6479.0,6515.0,6760.0,7059.0,6880.0,7206.0,2931.0,87.0,5230.0,4049.0,-945674044.265593,-5445103857.566767,3444656488.5496206,911392405.0632911,6730769230.769215,7068557919.621749,-3580000000.000004,10219435736.677128,-53171641791.04477,-6638655462.184873,21411323896.75272,-2006115169.016477,-9.053178698795114e+16,1.3189555409668232e+17,-2.417236720883904e+16,1.473259955874917e+17,9279909034410260.0,-2.5173895791067974e+17,2.7598871473354294e+17,-1.987181113721692e+18,5.787684866773618e+17,6.547614229443881e+16,-9.749141992410163e+16,19.04
9,43.2792,-4.9872,0.0030504216759375557,8304.0,8170.0,7775.0,8334.0,8317.0,8480.0,8864.0,8385.0,8992.0,3379.0,39.0,4539.0,2909.0,-2696177062.3742437,-5860534124.629082,5333969465.648858,-430379746.835443,4478021978.021967,9078014184.397163,-9580000000.000011,19028213166.144222,-69813432835.82089,-7796451914.098971,18734388009.991688,-2768812638.0159674,-6.3669156182189864e+16,1.660905577192573e+17,-5.500333218019374e+16,1.242633348065167e+17,1.2637341226305454e+17,-4.41087805777711e+17,5.721642633228853e+17,-2.7850045768641137e+18,7.713554841010189e+17,6.193006518228444e+16,-8.952206764366224e+16,5.43
